entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AST033,51.798552,-0.735945,5.5,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL025,51.824499,-0.806423,0.15,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL028,51.821383,-0.827384,4.43,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL032,51.819924,-0.816380,0.04,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL052,51.818560,-0.809452,0.92,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL059,51.819959,-0.815393,0.49,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL068,51.821142,-0.803464,1.11,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL076,51.821611,-0.824955,4.07,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL108,51.817283,-0.813969,0.01,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL110,51.813696,-0.808652,0.42,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL115,51.823765,-0.847259,6.6,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL116,51.815735,-0.815533,0.04,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL123,51.821597,-0.818208,0.05,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,BUC005,52.003363,-0.985464,0.21,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,BUC060,51.989857,-0.970841,5.1,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,BUC064,52.035142,-1.001816,0.22,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
2017-12-19,http://opendatacommunities.org/id/district-council/aylesbury-vale,SMD011,51.794942,-0.806232,3.73,2017-12-19,,810bcc5dff982c149487b3165777afeb4f3d000f4826edb8b3c88782e8cd4906
