entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-21,local-authority-eng:LEE,BLR01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.35,6,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,05HY,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,9.14,49,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,52NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.12,7,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,46NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,2.8,145,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,16NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.64,66,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,02NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.22,22,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,39NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.8,80,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,40NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.13,6,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,48NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.46,25,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,51NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.15,10,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,54NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.1,10,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2018-12-12,local-authority-eng:LEE,55NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.84,26,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,03PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.03,8,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,31NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,5.7,100,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,BLR03,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,1.43,10,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,19PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.42,26,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,02RG,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,1,12,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,15RG,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.12,8,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,36RG,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.49,14,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,24SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.03,10,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2012-12-18,local-authority-eng:LEE,23PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.07,12,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,49PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.24,19,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,BLR07,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.15,8,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,04SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.34,30,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,05SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.15,10,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,18SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.06,6,,2018-12-12,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,25SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.24,9,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,27SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.31,19,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,21SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.12,9,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,29SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.3,10,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,20WV,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,2.3,31,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,62PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.18,8,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,64PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.12,31,,2017-12-21,2019-12-19,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,BLR10,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.02,5,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR11,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.07,5,,2017-12-21,2019-12-19,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR12,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.05,6,,2017-12-21,2019-12-19,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,64NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,1.1,39,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2017-12-21,local-authority-eng:LEE,45PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.14,6,,2017-12-21,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,55PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.13,13,,2018-12-11,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,56PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.33,6,,2018-12-11,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR18,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.045,9,,2019-12-19,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR13,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.14,9,,2019-12-19,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR14,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.67,31,,2019-12-19,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR15,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.046,6,,2019-12-19,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
2019-12-19,local-authority-eng:LEE,BLR16,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,,,0.043,7,,2019-12-19,,81b482bab68cad538af38ddcd4460b5fc85efcc9f9a796c8ee49408de4b13b9d
