entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-07-18,local-authority-eng:BAI,BAS0001,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7730&p=0,51.61259,0.522286,0.78,13,19,2017-07-18,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-19,local-authority-eng:BAI,BAS0002,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7731&p=0,51.568454,0.4504,1.35,29,38,2017-07-19,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-19,local-authority-eng:BAI,BAS0003,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7732&p=0,51.555185,0.446296,3.52,80,80,2017-07-19,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-19,local-authority-eng:BAI,BAS0004,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7733&p=0,51.561401,0.449646,3.49,150,150,2017-07-19,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-19,local-authority-eng:BAI,BAS0005,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7734&p=0,51.564209,0.46502,0.45,13,20,2017-07-19,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-19,local-authority-eng:BAI,BAS0006,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7735&p=0,51.561971,0.422651,0.37,6,20,2017-07-19,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-20,local-authority-eng:BAI,BAS0007,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7736&p=0,51.576211,0.486092,2.45,52,83,2017-07-20,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-20,local-authority-eng:BAI,BAS0008,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7737&p=0,51.615382,0.523755,0.31,84,84,2017-07-20,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-20,local-authority-eng:BAI,BAS0009,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7738&p=0,51.61107,0.518922,0.43,5,5,2017-07-20,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-20,local-authority-eng:BAI,BAS0010,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7739&p=0,51.567642,0.505467,0.59,8,26,2017-07-20,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
2017-07-21,local-authority-eng:BAI,BAS0011,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7740&p=0,51.620044,0.518163,0.84,17,23,2017-07-21,,8337e6c353594d27078cdbacabb323cae315c68407042dcf0405f5483d8a7dd7
