entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-01,http://opendatacommunities.org/id/district-council/cotswold,12/01792/OUT,193974,389657,5,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,15/03385/FUL,202113,402215,0.15,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,16/05023/FUL,201987,402567,0.16,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,17/00323/OUT,217001,394189,6.57,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,,17/00842/FUL,233267,420790,0.21,,,2018-11-23,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,17/02205/FUL,201879,402669,0.04,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,17/02435/OUT,212578,418917,1.17,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,17/03081/FUL,225857,419307,0.06,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-12-01,http://opendatacommunities.org/id/district-council/cotswold,17/03221/FUL,232714,420362,0.79,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,17/04749/FUL,225686,418927,0.19,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,,17/04958/OPANOT,200941,416720,0.18,,,2018-11-23,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,17/04962/FUL,232034,420420,0.07,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,17/05083/FUL,193317,389090,0.3,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,,18/00042/FUL,224668,409436,0.09,,,2018-11-23,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-23,http://opendatacommunities.org/id/district-council/cotswold,18/01177/FUL,194078,390138,0.76,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-11-26,,18/02760/FUL,201833,403311,0.92,,,2018-11-26,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2018-12-03,,18/02958/FUL,202497,402032,0.24,,,2018-12-03,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,C_17,201621,402255,0.18,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,C_57/C_101A /C_101B,201869,402493,0.88,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,C_82B,201500,402485,0.51,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,C_97/CIR_E12,201839,402112,0.38,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,M_63,232629,420630,0.29,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,T_51,193826,389347,0.77,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
2017-11-13,http://opendatacommunities.org/id/district-council/cotswold,W_1A/W_1B,239501,410582,0.05,,,2017-11-13,,84d621087fd6393947111b9955b6834dea71ffefba6c80f88a303c366fee25d6
