entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2016-07-14,,SHLAA Site 3,,,,1.24,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 5,,,,0.76,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 14,,,,0.14,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 101,,,,0.99,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 102,,,,1.56,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 111,,,,0.1,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 118,,,,0.12,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 124,,,,0.04,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 131,,,,0.08,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 336,,,,0.07,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 345,,,,0.03,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 350,,,,0.05,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 378,,,,0.02,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA site 381,,,,0.17,,,3026-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 1906,,,,0.12,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2084,,,,0.24,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2088,,,,0.18,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2089,,,,0.32,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2159,,,,0.11,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2178,,,,0.03,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2187,,,,0.58,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-08-01,,SHLAA Site 2188,,,,0.17,,,2016-08-01,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
2016-07-14,,SHLAA Site 2194,,,,0.02,,,2016-07-14,,851e86686a6630a5ffdb9ec9b36688de6187680d9c5e00e5759c6a5f785bcfc7
