entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00001,52.27477611,-1.895479371,0.08,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00002,52.3407505,-1.848751436,0.67,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00003,51.9825615,-1.579812788,0.4,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00004,52.191993,-1.706472,0.07,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00005,52.19582437,-1.731485073,0.04,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00006,52.25272918,-1.38740422,0.06,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00007,52.18986915,-1.699996015,0.11,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00008,52.25331658,-1.386253488,0.29,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00009,52.19149314,-1.728482574,0.74,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00010,52.21888877,-1.866262083,0.08,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00011,52.15683327,-1.512443034,0.13,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00012,52.28325011,-1.717250022,0.41,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00013,52.291765,-1.786209386,0.65,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00014,52.0892777,-1.626014128,0.41,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00015,52.17793577,-1.873257683,0.32,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00016,52.19473913,-1.709678037,0.72,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00017,52.17249438,-1.712498006,0.03,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00018,52.18055277,-1.345717885,0.56,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00019,52.06205909,-1.627801579,0.05,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00020,52.19144749,-1.596062012,0.94,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00021,52.27352484,-1.893679666,0.09,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00022,52.26765291,-1.678971041,0.45,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00023,52.25121694,-1.334001066,11.5,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00024,52.17205977,-1.379562289,4.1,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00025,52.11922032,-1.758597371,0.61,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00026,52.04976976,-1.611468965,0.41,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00027,52.22638186,-1.425758646,5.26,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00028,52.22638186,-1.425758646,3.7,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00029,52.16462734,-1.855341827,0.22,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00030,52.17609214,-1.795596367,1.8,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00031,52.33048908,-1.832644241,2.1,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00032,52.13638134,-1.74902277,45,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00033,52.28334103,-1.390822639,0.33,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00034,52.26979573,-1.906643163,0.12,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00035,52.26349547,-1.77453567,0.2,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00036,52.11922032,-1.758597371,98,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
2017-12-08,http://opendatacommunities.org/id/district-council/stratford,SDC00037,52.11922032,-1.758597371,98,,,2017-12-08,,8578e0421d0ab6cdfe7fc0305901f87dedb101c89148da4ad6685a37f9677a6b
