entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-11-20,local-authority-eng:BRE,BLR_01,"Land south of Whitehouse Lane, Attleborough",https://www.breckland.gov.uk/media/6177/BLR-01/pdf/BLR_01.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,52.511745,1.02623,2.62,60,78,2017-08-10,,. The site is included within a wider planning approval for 165 dwellings.,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_02,"Land at Dereham hospital, Dereham",https://www.breckland.gov.uk/media/6178/BLR-02/pdf/BLR_02.pdf,yes,not owned by a public authority,not permissioned,,,52.690288,0.946188,3.28,98,114,2017-08-10,,,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_03,"The Necton Diner, Necton",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_0983_O%5C3PL_2013_0983_O-AM_1_1.pdf&module=pl,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.65628,0.773996,0.85,31,31,2017-08-10,,". Construction of 31 dwellings on land formerly occupied by Necton Diner and Garage. The proposed layout provides for a single new access on Tuns Road, closing existing accesses off the A47. Foul drainage is proposed to be discharged to the existing mains sewer in the adjacent highway and surface water from the proposed roads would be self draining whilst the houses would be served by soakaways. The applicant proposed that the development will achieve Code Level 4 in terms of energy efficiency. An indicative layout and house type has been provided although appearance, landscaping and layout are reserved matters.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_0983_O%5C3PL_2013_0983_O-CL.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2018-02-20,local-authority-eng:BRE,BLR_04,"Former V A Infant School, Necton",https://www.breckland.gov.uk/media/6179/BLR-04/pdf/BLR_04.pdf,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.652257,0.780292,0.34,4,4,2017-08-10,,Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0002/PIP&from=planningSearch. Construct four four bedroom detached dwellings and garaging following the demolition of existing school buildings. It is proposed to retain an existing indoor swimming pool for the use of the middle school.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1362_O%5C3PL_2014_1362_O-CL.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_05,"D D Dodd and Sons, Chapel Street, Shipdham",https://www.breckland.gov.uk/media/6180/BLR-05/pdf/BLR_05.pdf,yes,not owned by a public authority,permissioned,full planning permission,yes,52.630081,0.896217,0.44,9,9,2017-08-10,,". Demolition of the existing former Public House, central garage and retail units and provision of 9 residential units, a convenience store, a fish and chip shop, office accommodation, a dog grooming parlour and a vehicle repair workshop.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1362_O%5C3PL_2014_1362_O-CL.pdf&module=pl  | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0655_F%5C3PL_2016_0655_F-CL_1.pdf&module=pl  | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0655_F%5C3PL_2016_0655_F-CL_2.pdf&module=pl  | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0655_F%5C3PL_2016_0655_F-CL_3.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_06,"Mellor Metals, Attleborough Road, Great Ellingham",https://www.breckland.gov.uk/media/6181/BLR-06/pdf/BLR_06.pdf,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.53414,0.980077,1.61,75,75,2017-08-10,,. Erection of up to 75 dwellings on a site area of 3.15ha. Removal of existing salvage year and access from Attleborough Road.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0648_O%5C3PL_2016_0648_O-CL.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_07,"Plaswood Products Ltd Griston Road, Watton",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0370_D%5C6226+S01.pdf&module=pl,yes,not owned by a public authority,permissioned,reserved matters approval,yes,52.568359,0.838471,0.65,31,31,2017-08-10,,". 31 dwellings, open space and associated works, comprising 13 houses and 18 flats. The site contained buildings previously used for manufacturing, which ceased some time ago and the site has stood vacant.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0370_D%5C3PL_2017_0370_D-CLC.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_08,"Development Site, Station Road, Eccles",https://www.breckland.gov.uk/media/6182/BLR-08/pdf/BLR_08.pdf,yes,not owned by a public authority,permissioned,full planning permission,yes,52.469954,0.971203,0.26,6,6,2017-08-10,,". Erection of 6 detached dwellings with associated garages on land to the east of Station Road, Quidenham. The proposal involves the demolition of existing industrial buildings at Station Farm and would utilise an existing access from Station Road.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0106_F%5C3PL_2017_0106_F-CL.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0106_F%5C3PL_2017_0106_F-CL_1.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0106_F%5C3PL_2017_0106_F-CL_2.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_09,"The Old Rectory, Ashburton Road, Ickburgh",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5C3PL_2015_0001_F-LP.pdf&module=pl,yes,not owned by a public authority,permissioned,full planning permission,yes,52.524589,0.683627,0.96,8,8,2017-08-10,,". Eight detached contemporary homes comprising 3, 4 and 5 bed detached houses each with a double garage. The site comprises a rectangular parcel of previously developed land that is formed of hardstanding and contains a number of industrial, storage and office buildings.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5CContamination+Report+Part1.pdf&module=pl  | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5CContamination+Report+Part2.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5CContamination+Report+Part3.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_10,"Necton Garden Centre, Necton",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0422_D%5CSite+Layout+%281%29%281%29.pdf&module=pl,yes,not owned by a public authority,permissioned,reserved matters approval,yes,52.656808,0.776026,0.4,9,9,2017-08-10,,". Erection of nine dwellings on land at Necton Garden Centre, which includes the demolition of the existing garden cetre building and associated buildings.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0422_D%5CNecton+Garden+Centre+Stage+II+%26+QRA+report+.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_11,"Land off Lancaster Avenue, Carbrooke",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0084_F%5C3PL_2016_0084_F-LP.pdf&module=pl,yes,not owned by a public authority,permissioned,full planning permission,yes,52.568943,0.857208,2.93,106,106,2017-08-10,,". Erection of 106 dwellings and a community centre, together with associated access roads and public open space.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0084_F%5C3PL_2016_0084_F-CL.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_12,"Dennys Walk, Narborough",https://www.breckland.gov.uk/media/6184/BLR-12/pdf/BLR_12.pdf,yes,not owned by a public authority,permissioned,full planning permission,yes,52.683664,0.58423,0.53,21,21,2017-08-10,,. Erection of 33 dwellings including 31 affordable and two open market dwellings. The existing 12 semi-detached properties would be demolished.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0623_F%5C3PL_2015_0623_F-CL.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_13,"Land off Fengate Drove, Brandon",https://www.breckland.gov.uk/media/6188/BLR-13/pdf/BLR_13.pdf,yes,not owned by a public authority,permissioned,full planning permission,yes,52.454089,0.619799,0.55,21,21,2017-08-10,,"Only part of the site has been included as the majority of the site falls outside of the district boundary.. Erection of 64 affordable dwellings. The development would include 2, 3 and 4 bedroom houses and bungalows and 1 and 2 bedroom flats. Of the 64 dwellings proposed 8 houses and 13 flats would be wholly within Breckland and severeal others would straddle the District/County boundary.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1361_F%5C3PL_2014_1361_F-SD_3.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_14,"Low Meadow Park, Thompson Road, Griston",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0297_O%5CSITE+LOCATION+A4.pdf&module=pl,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.551157,0.867898,0.38,5,5,2017-08-10,,. Erection fo 5 dwellings and associated garages. Demolition and removal of the five existing residential static mobile homes.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0297_O%5COWQC15065_OnlineCommentsCC_46439.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_15,"SPK engineering, The Old Sawmills, Mileham",https://www.breckland.gov.uk/media/6189/BLR-15/pdf/BLR_15.pdf,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.737327,0.826668,0.31,10,10,2017-08-10,,. Construction of 10 dwellings on brownfield land at Back Lane. Mix of single and two storey detached and semi-detached dwellings.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0534_O%5C3PL_2016_0534_O-SD_3.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0534_O%5C3PL_2016_0534_O-SD_4.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_16,"Land off Kimms Belt London Road, Thetford",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0379_F%5C3PL_2016_0379_F-AM.pdf&module=pl,yes,not owned by a public authority,permissioned,full planning permission,yes,52.407589,0.732985,0.42,29,29,2017-08-10,,". Erection of 29 dwelling on land off the corner of Kimms Belt/London Road, Thetford. The proposed dwellings would comprise a mix of two and one bedroom flats, within a  single building arranges over three floors.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0379_F%5C3PL_2016_0379_F-CL.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_17,"Land East of Brandon Road, Swaffham",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1154_F%5C3PL_2014_1154_F-LP.pdf&module=pl,yes,not owned by a public authority,permissioned,full planning permission,yes,52.632991,0.69447,5.1,136,136,2017-08-10,,. Re-plan phases 2 and 3 of an approved housing development. Erection of 136 units on land formely used for industrial purposes including the former Redland tile factory.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1154_F%5C3PL_2014_1154_F-CL.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_1154_F%5C3PL_2014_1154_F-CL_1.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_18,"Iceni Brewery, Foulden Road, Ickburgh",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0288_F%5C1616+03C+Proposed+Site+Plan.pdf&module=pl,yes,not owned by a public authority,permissioned,full planning permission,yes,52.520181,0.662219,0.3,1,1,2017-08-10,,. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0288_F%5COWQC26697_OnlineCommentsCC_62812.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_19,"The Old Maltings, Norwich Road, Dereham",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_1454_H%5CPlanning+Application+Boundary.pdf&module=pl,yes,not owned by a public authority,permissioned,other,yes,52.676955,0.950765,4.8,127,127,2017-08-10,,". Construction of 127 dwellings and associated works including, estate roads, public open space, lay areas, landscaping and amenity green space with sustainable drainage systems.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_1454_H%5C3PL_2016_1454_H-CL.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2018-02-20,local-authority-eng:BRE,BLR_20,"The Old Maltings, Norwich Road, Dereham",https://www.breckland.gov.uk/media/6190/BLR-20/pdf/BLR_20.pdf,yes,not owned by a public authority,not permissioned,,,52.677192,0.949567,2.01,53,75,2017-08-10,,Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0003/PIP&from=planningSearch,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2018-02-20,local-authority-eng:BRE,BLR_21,"Hamilton Acorn Ltd. Halford Road, Attleborough",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2011_0489_O%5C3PL_2011_0489_O-LP.pdf&module=pl,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.513647,1.016868,2.5,86,86,2017-08-10,,"Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0004/PIP&from=planningSearch. Demolition of factory/buildings, erection of 86 dwellings, public open space and associated infrastructure.. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2011_0489_O%5C3PL_2011_0489_O-SD_1.pdf&module=pl",86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_22,"Former Quantrills Industrial Estate, Church Street, Griston",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5CChurch+Road+Griston+Location+Plan.pdf&module=pl,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.553454,0.864404,1.8,37,37,2017-08-10,,. Redevelopment of site for 37 residential dwellings. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5C15551AppendixA.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5C15551AppendixB.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5C15551Drawings.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5C15551Photographs.pdf&module=pl | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2012_1045_O%5C15551Report.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_23,"Station Yard, North Elmham",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_1045_O%5C3PL_2013_1045_O-LP.pdf&module=pl,yes,not owned by a public authority,permissioned,outline planning permission,yes,52.744024,0.95184,0.77,19,19,2017-08-10,,. Residential development for 19 dwellings. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_1045_O%5C3PL_2013_1045_O-CL.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
2017-11-20,local-authority-eng:BRE,BLR_24,"Horningham Welding & Fabrication Services, Kensington Forge, Mattishall",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_0495_F%5C3PL_2014_0495_F-PLANS.pdf&module=pl,yes,not owned by a public authority,permissioned,full planning permission,yes,52.661442,1.004427,0.98,11,11,2017-08-10,,. Residential development of 11 dwellings including change of use from storage/distribution and light industrial. http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_0495_F%5C3PL_2014_0495_F-CL.pdf&module=pl | | http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2014_0495_F%5COWQC1273_OnlineCommentsCC_29711.pdf&module=pl,86fb2f30b39697e5e5706eea57d7c2c36d703ad68c62d8dfc3a518f89d0fe976
