entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-12-01,local-authority-eng:SEV,BFR139,"JD Hotchkiss Ltd, London Road, West Kingsdown",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,,not owned by a public authority,not permissioned,,,51.347068,0.256548,0.55,31,,2018-12-01,,"Potential contamination issues to be resolved.
As the site is in existing employment use it would need to be
demonstrated that the use is no longer suitable, feasible or viable and
that there is no reasonable prospect of the continued business use in
the longer term.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR127,"Middle Farm Nursery, Cray Road, Crockenhill",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,,not owned by a public authority,not permissioned,,,51.382318,0.155657,0.74,30,,2018-12-01,,"Additional information on site layout and massing is required alongside
an assessment of the impact on the listed buildings.
Site reduced to previously developed land and locally defined
brownfield land only.
As the site is in existing employment use it would need to be
demonstrated that the use is no longer suitable, feasible or viable and
that there is no reasonable prospect of the continued business use in
the longer term.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR133,"College Road Nurseries, College Road, Hextable",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.408239,0.171689,0.27,9,,2018-12-01,,"It is important to retain the gap between Hextable and Swanley and to
avoid encroachment here. Overall the southern portion of the site
containing permanent buildings and glasshouses is considered able to
accommodate development. Site reduced to previously developed land
only.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR126,"Highways Depot, Tonbridge Road, Chiddingstone Causeway",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.197682,0.17208,0.21,8,,2018-12-01,,"Consideration should be given to any potential noise impact from the
railway line.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR128,"Wested Farm, Eynsford Road, Crockenhill",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.379967,0.17891,0.66,10,,2018-12-01,,"Additional information on site layout and massing is required alongside
an assessment of the impact on the listed buildings.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR135,"Gills Farm, Gills Road, South Darenth",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.405405,0.263865,0.92,16,,2018-12-01,,"Support retention of the existing tourist accommodation and
commercial workshops as part of the wider scheme.
If a wholly residential scheme is proposed, as part of the site is in
existing employment and tourist accommodation use, it would need to
be demonstrated that the use is no longer suitable, feasible or viable
and that there is no reasonable prospect of the continued business use
in the longer term.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR140,"Terrys Lodge Farm, Terrys Lodge Road, Wrotham",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.323023,0.280679,0.45,5,,2018-12-01,,"Part of the site has been granted permission for conversion of existing
grain store to 3 residential dwellings.
Additional information on site layout and massing of the proposal is
required alongside an assessment of the impact on the listed building.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR120,"Kent & Surrey Driving Range, Crouch House Road, Edenbridge",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.204111,0.050794,0.14,5,,2018-12-01,,"The loss of sports facility buildings need to be addressed. Site has been
reduced to previously developed land.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR130,"Grange Park Farm, Manor Lane, Fawkham",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,yes,not owned by a public authority,not permissioned,,,51.375136,0.2829,0.83,32,,2018-12-01,,"Site reduced to previously developed land and locally defined
brownfield land only. Ancient woodland adjacent to the site, a buffer
zone would be required.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
2018-12-01,local-authority-eng:SEV,BFR132,"Fort Halstead, Crow Drive, Halstead",https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,,not owned by a public authority,not permissioned,,,51.312699,0.14678,62.66,300,,2018-12-01,,"Scheduled Ancient Monument on site. Site has outline planning
permission for 450 residential units, 27,000m2 of employment
floorspace, an 80 bed hotel and a village centre.",88b8c74d627654fe025357f34a133d75a5e35758d4c191e6c55d6677105bd5d4
