entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:HAO,A/MH/HSG/46,52.472160,-0.921711,0.46,11,16,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,A/MH/HSG/58,52.479019,-0.913630,0.38,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,A/MH/HSG/59,52.478100,-0.912931,0.43,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.14,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,A/DB/HSG/03,52.512244,-1.186091,0.18,2,2,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.96,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,RC014/10,,,0.75,8,8,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.75,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.40.,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,2.90.,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.26,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.44,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,,,,0.67,,,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
,local-authority-eng:HAO,A/BL/HSG/02,52.612865,-0.940383,0.22,7,7,2017-11-07,,8d715e359d619a441690271c6c9ceed9bc3f43e5a12a8d500b581a4de65c5465
