entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-05-22,local-authority-eng:ELI,AL036,,,0.12,3,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,AL204,,,0.64,41,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,C&T024,,,0.64,35,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,HLC206,,,0.98,19,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,HOG305,,,0.56,10,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,HOR016,,,0.25,5,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,HOR050,,,0.47,12,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,HOR063,,,0.29,52,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO021,,,0.07,4,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO096,,,0.07,2,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO099,,,0.04,2,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO134,,,1.10,20,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO307,,,1.20,57,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO312,,,1.33,20,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO323,,,0.43,33,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO331,,,0.15,1,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO339,,,2.09,55,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO507,,,0.67,33,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,LO530,,,0.38,10,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,MAN306,,,1.00,42,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,MAN330,,,7.52,87,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,MLF021,,,0.16,3,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,SPY203,,,0.39,9,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,STK319,,,0.82,9,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,WAI308,,,2.87,7,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,WAI317,,,0.52,7,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
2017-05-22,local-authority-eng:ELI,WAI406,,,0.09,5,,2017-05-22,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
,local-authority-eng:ELI,WSP315,,,0.65,13,,,,95cc961f89e833cadf8b883eeca8bf361fb9bbae7481d1e3dfc6199a8893df30
