entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-31,local-authority-eng:HOR,SA511,,,0.09,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA554,,,0.9,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA198,,,0.03,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA285,,,0.5,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA530,,,0.11,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA605,,,0.12,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA529,,,0.37,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA550,,,0.15,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA673,,,0.1,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA137,,,0.9,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA138,,,0.17,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA139,,,0.29,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA144,,,4.5,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA146,,,0.8,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA032,,,0.26,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA659,,,0.1,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA660,,,0.07,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA495,,,0.3,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA143,,,0.58,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA200,,,0.03,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA436,,,0.23,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA449,,,0.05,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA453,,,0.04,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA490,,,0.9,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA577,,,0.14,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA664,,,0.15,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA672,,,1.3,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA199,,,0.2,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA448,,,0.61,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA478,,,0.4,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA525,,,0.12,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA535,,,0.1,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA557,,,0.16,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA661,,,0.8,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
2017-12-31,local-authority-eng:HOR,SA360,,,1.55,,,2017-12-31,,9670448e16b3e66762311f14f2455c38f83f8def1184dbac11afff475513fad4
