entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-31,local-authority-eng:CHI,BLR0001,"Bartholomews Specialist Distribution, Bognor Road, Chichester, West Sussex, PO19 7TT",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29225,yes,not owned by a public authority,permissioned,full planning permission,,50.832602,-0.757196,1.31,77,77,2017-12-31,,". ""Construction of 24 flats and 33 houses with associated car parking, landscaping, cycle and bin storage after demolition of storage buildings but retaining office accommodation"". http://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0002,"Land south of Graylingwell Drive, Chichester, West Sussex",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29226,yes,owned by a public authority,permissioned,outline planning permission,,50.852481,-0.771201,7.42,160,160,2017-12-31,,". ""Demolition of existing hospital buildings and development of up to 160 new homes including retention and improvement of sports pitch/open space, new pavilion and children's play area; restoration of Martin's Farm house for residential use (included in 160 unit total); access arrangements and ancillary works and demolition of pavilion. http://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0003,"St Wilfrids Hospice, Grosvenor Road, Donnington, West Sussex, PO19 8FP",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29260,yes,not owned by a public authority,permissioned,outline planning permission,,50.825203,-0.784682,0.68,21,21,2017-12-31,,. Demolition of existing hospice and replacement with 21 no. residential dwellings,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0004,"Home Farm Hostel, Chichester Road, Selsey, West Sussex, PO20 9DX",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29261,yes,not owned by a public authority,permissioned,full planning permission,,50.75346,-0.781578,0.14,10,10,2017-12-31,,. Change of use of existing agricultural workers accommodation to 10 no. residential dwellings and associated works. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0005,"Land west of Maddoxwood Cottage, Lavant Road, Chichester, PO19 5RD",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29262,yes,not owned by a public authority,pending decision,,,50.85919,-0.784978,0.5,10,10,2017-12-31,,Allocated for housing development within the made Lavant Neighbourhood Development Plan. Erection of 10 no. dwellings with the associated car parking and landscaping and retention of Maddoxwood House. Provision of a foot/cycle path. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0006,"Camellia, Chalk Road, Ifold, Billingshurst, RH14 0UA",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29263,yes,not owned by a public authority,permissioned,full planning permission,,51.068573,-0.543806,0.26,3,3,2017-12-31,,. Outline application for the erection of 3 residential units and associated parking (appearance and landscaping matters reserved),979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0007,"Brewhurst Mill, Brewhurst Lane, Loxwood, Billingshurst, West Sussex, RH14 0RJ",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29264,yes,not owned by a public authority,permissioned,full planning permission,,51.06946,-0.508624,1.47,1,1,2017-12-31,,. Residential conversion of part of Brewhurst Mill to dwelling,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0008,"Co-operative Food, Malcolm Road, Tangmere, Chichester, West Sussex, PO20 2HS",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29265,yes,not owned by a public authority,permissioned,full planning permission,,50.851421,-0.716976,0.27,3,3,2017-12-31,,". ""Change of use of upper floors from vacant (A4) to 3 no. residential apartments (C3) including installation of external stair, bin and cycle store and car parking spaces""",979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0009,"Land at the Tannery, Westgate, Chichester, West Sussex, PO19 3HN",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29266,,owned by a public authority,not permissioned,,,50.835889,-0.788437,0.55,16,16,2017-12-31,,Density calculated using 30 dwellings per hectare. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0010,"Metro House, Northgate, Chichester, West Sussex, PO19 3HN",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29267,,not owned by a public authority,not permissioned,,,50.840493,-0.778902,0.2,6,6,2017-12-31,,Density calculated using 30 dwellings per hectare,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0011,"Land at Police Station, Kingsham Road, Chichester, PO19 8AD",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29268,,owned by a public authority,not permissioned,,,50.830949,-0.777759,0.69,20,20,2017-12-31,,Density calculated using 30 dwellings per hectare,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0012,"Former Portfield Depot and UMA House, Oving, Chichester, West Sussex, PO19 7UW",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29269,yes,not owned by a public authority,permissioned,outline planning permission,,50.838761,-0.751196,2.15,130,130,2017-12-31,,"571 student bedspaces equivalent to 130 dwellings. ""Outline application for the re-development of the site to provide student housing of up to 521 bedrooms with a supporting student hub building, associated amenities, parking and landscaping"". https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0013,"Tangmere Academy, Bishops Road, Tangmere, West Sussex, PO20 2JB",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29270,,owned by a public authority,not permissioned,,,50.853834,-0.713131,1.21,36,36,2017-12-31,,Allocated for housing development within the made Tangmere Neighbourhood Development Plan. Density calculated using 30 dwellings per hectare,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
2017-12-31,local-authority-eng:CHI,BLR0014,"98 Fishbourne Road, Fishbourne, West Sussex, PO19 3JL",http://www.chichester.gov.uk/CHttpHandler.ashx?id=29271,,not owned by a public authority,not permissioned,,,50.835933,-0.811002,0.33,9,9,2017-12-31,,Density calculated using 30 dwellings per hectare,979b021ba8105394ce212b88afcde56d0ccecb81d3f785df763ad7167f248d21
