entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-14,local-authority-eng:HUN,HDCBLR02,52.326003,-0.184985,0.6,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR03,52.226135,-0.253470,2.6,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR04,52.223604,-0.255604,0.6,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR06,52.451431,-0.110341,0.7,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR07,52.449319,-0.112094,0.9,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR08,52.435699,-0.129183,25,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR09,52.435338,-0.122328,2,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR10,52.454471,-0.113773,1.7,,,2017-12-20,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR11,52.454029,-0.114292,1,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR12,52.332154,-0.190883,3.5,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR13,52.366541,-0.219002,84,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR14,52.326271,-0.174937,2.6,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR15,52.537005,-0.230498,0.26,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR16,52.231914,-0.265514,0.75,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR17,52.453516,-0.107514,0.4,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR18,52.332162,-0.184953,0.25,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
2018-12-14,local-authority-eng:HUN,HDCBLR19,52.196832,-0.248034,0.46,,,2018-12-14,,9a482681cd5cceb96153db3dde34c251ca999eb4870c73d84f8c197a968f3489
