entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-11,local-authority-eng:MDB,BR1,"Newbridge Court, Rievaulx Court, Tollesby",https://www.middlesbrough.gov.uk/files/brownfields-register-br1-newbridge-courtjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.546247,-1.241174,0.24,21,21,2017-12-11,,. Revised application for demolition of existing buildings and erection of 3 storey building comprising of 1no. ground floor convenient store (A1) and 1no. Ground floor unit for use as either shop (A1) offices (A2) cafe (A3) or hot food shop (A5) with 21no flats,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR2,"Addington Drive, Pallister Park",https://www.middlesbrough.gov.uk/files/brownfields-register-br2-addington-drivejpg,yes,not owned by a public authority,permissioned,full planning permission,,54.567464,-1.203088,0.38,19,19,2017-12-11,,". Residential development comprising 19no two storey dwellings in 2 Phases (13 2bed and 6 3bed) with associated access, car parking landscaping and boundary treatment. Demolition of existing buildings.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR3,"Roworth Road, Thorntree",https://www.middlesbrough.gov.uk/files/brownfields-register-br3-roworth-roadjpg,,mixed ownership,not permissioned,,,54.556505,-1.183741,2.55,81,81,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR4,"Former Erimus Training Centre, College Road",https://www.middlesbrough.gov.uk/files/brownfields-register-br4-former-erimus-training-centrejpg,yes,owned by a public authority,not permissioned,,,54.563949,-1.189377,2.88,91,91,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR5,"The Wave, Marton Road",https://www.middlesbrough.gov.uk/files/brownfields-register-br5-wavejpg,yes,not owned by a public authority,permissioned,full planning permission,,54.571363,-1.225008,0.59,109,109,2017-12-11,,". Erection of 5 storey building (comprising 109no units for student residential accommodation, 95 studios and 14 cluster flats) with car parking, boundary treatments and landscaping.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR6,"Springfield Hotel, Borough Road",https://www.middlesbrough.gov.uk/files/brownfields-register-br6-springfield-hoteljpg,yes,not owned by a public authority,permissioned,full planning permission,,54.572251,-1.231829,0.06,13,13,2017-12-11,,". Demolition of existing public house & erection of 1no 7 storey mixed use building, consisting of part ground floor (A1) commercial unit & 13 residential units (77 bed total).",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR7,L/A 234 Linthorpe Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br7-la-234-linthorpe-roadjpg,yes,owned by a public authority,permissioned,outline planning permission,,54.569634,-1.238699,0.03,55,55,2017-12-11,,". Outline planning application for mixed use development consisting of ground floor commercial/retail (A1,A2,A3,A4,A5) and residential accommodation of 55no beds",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR8,"Church House, Bedford Street",https://www.middlesbrough.gov.uk/files/brownfields-register-br8-church-house-bedford-streetjpg,yes,not owned by a public authority,permissioned,other,,54.574023,-1.236374,0.13,86,86,2017-12-11,,". Conversion to form 77no apartments on upper floors (with retention of vicarage on 1st/2nd floor and ground floor commercial units) recladding of upper floors and car park. Revised application for  Change of Use to first and second floor to form 9 No additional flats, change of use to ground floor to allow retail (A1), offices (A2), cafe restaurant (A3) or drinking establishment (A4) and new shop fronts.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR9,"87-97 St. Barnabas Road, Linthorpe",https://www.middlesbrough.gov.uk/files/brownfields-register-br9-87-97-st-barnabas-roadjpg,yes,not owned by a public authority,permissioned,outline planning permission,,54.562432,-1.248251,0.06,9,9,2017-12-11,,. Erection of 9 2B terraced houses.,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR10,4-6 Park Road North,https://www.middlesbrough.gov.uk/files/brownfields-register-br10-4-6-park-road-northjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.566987,-1.239413,0.03,8,8,2017-12-11,,". Change of use from A4 drinking establishement with 2nd floor flat to 8 student cluster flats (1 3B, 6 2B & 1 5B), basement conversion, external alterations, enclosed rear yard and front boundary fencing.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR11,"Centre North East, Albert Road",https://www.middlesbrough.gov.uk/files/brownfields-register-br11-centre-north-eastjpg,yes,not owned by a public authority,permissioned,other,,54.576926,-1.234943,0.15,300,300,2017-12-11,,. Prior notification of proposed change of use from offices (B1) to dwellings (C3).,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR12,"L/S Middlesbrough Dock, Middlehaven",https://www.middlesbrough.gov.uk/files/brownfields-register-br12-ls-middlesbrough-dockjpg,,owned by a public authority,not permissioned,,,54.577477,-1.224103,1.89,40,40,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR13,"Former Police Station Site, Dunning Street",https://www.middlesbrough.gov.uk/files/brownfields-register-br13-former-police-station-sitejpg,,not owned by a public authority,not permissioned,,,54.573647,-1.233736,0.23,580,580,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR14,282-290 Linthorpe Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br14-282-290-linthorpe-roadjpg,,not owned by a public authority,not permissioned,,,54.567984,-1.239255,0.09,16,16,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR15,7-13 Waterloo Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br15-7-13-waterloo-roadjpg,yes,not owned by a public authority,permissioned,outline planning permission,,54.568794,-1.238065,0.04,60,60,2017-12-11,,. Outline planning permission for erection of 1no student accommodation building comprising 60no units (demolition of existing building),9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR16,"L/B Rochester Rd, Eastbourne Rd and Mulgrave Rd",https://www.middlesbrough.gov.uk/files/brownfields-register-br16-lb-rochester-rd-eastbourne-rd-and-mulgrave-rdjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.55798,-1.237617,0.16,6,6,2017-12-11,,. Erection of 6no 2 bed detached bungalows,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR17,Station Street,https://www.middlesbrough.gov.uk/files/brownfields-register-br17-station-streetjpg,,not owned by a public authority,permissioned,full planning permission,,54.579116,-1.23747,0.19,337,337,2017-12-11,,". Erection of 7 storey student accommodation building comprising 337 student studios (Class C3) and ancillary space (Retail - A1, Cafe - A3 and takeaway - A5)",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR18,"Former Liberty's PH, Longlands Road, Longlands",https://www.middlesbrough.gov.uk/files/brownfields-register-br18-former-libertys-phjpg,,not owned by a public authority,not permissioned,,,54.566457,-1.220956,0.27,8,8,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR19,"Former St David's School, Cowley Road, Acklam",https://www.middlesbrough.gov.uk/files/brownfield-register-br19-former-st-davids-school-cowley-roadjpg,,not owned by a public authority,not permissioned,,,54.540728,-1.251231,6.5,115,115,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR20,45-49 Albert Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br20-45-49-albert-roadjpg,,not owned by a public authority,permissioned,other,,54.576907,-1.234835,0.05,11,11,2017-12-11,,". Conversion of former retail use (A1)  and Office (B1) to 11 residential flats (C3),    6 1B and 5 3B units.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR21,"Land at St Agnes Church, Easterside",https://www.middlesbrough.gov.uk/files/brownfields-register-br21-land-st-agnes-churchjpg,,not owned by a public authority,not permissioned,,,54.542589,-1.215722,0.18,5,5,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR22,"L/R 50-60 Hutton Road, Longlands",https://www.middlesbrough.gov.uk/files/brownfields-register-br22-lr-50-60-hutton-roadjpg,yes,not owned by a public authority,permissioned,outline planning permission,,54.564034,-1.216007,0.31,28,28,2017-12-11,,. Outline application for residential development comprising 3no apartment blocks (28 no apartments in total) with associated access and parking,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR23,"Bishopton Road, Grove Hill",https://www.middlesbrough.gov.uk/files/brownfields-register-br23-bishopton-roadjpg,yes,not owned by a public authority,not permissioned,,,54.55712,-1.230891,2.76,48,48,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR24,Farndale Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br24-farndale-roadjpg,,not owned by a public authority,not permissioned,,,54.559172,-1.220183,0.42,42,42,2017-12-11,,". Lapsed applicaion for 2 1/2 storey care home comprising 50 no beds, with external/internal communal facilities and associated works, including car parking/access and landscaping and boundary treatment.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR25,Brackenhoe East,https://www.middlesbrough.gov.uk/files/brownfields-register-br25-brackenhoe-eastjpg,yes,owned by a public authority,permissioned,outline planning permission,,54.549388,-1.212268,1.78,27,27,2017-12-11,,". Brownfield element of Hybrid application (10.04 ha) including outline permission for 130no dwellings and associated works, and full plans application for hospital car park, access road, landscaping/boundary treatment and associated works. 2.43 ha (103 dwellings)for housing on greenfield.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR26,"Tennis World, Marton Road",https://www.middlesbrough.gov.uk/files/brownfields-register-br26-tennis-world-marton-roadjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.542203,-1.208913,0.99,23,23,2017-12-11,,". Residential development comprising 23no dwellings (2,3 & 4 bed), landscaping and associated infrastructure.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR27,"Former Marton Hotel and Country Club, Stokesley Road, Marton",https://www.middlesbrough.gov.uk/files/brownfields-register-br27-former-marton-hotel-and-country-club-stokesley-roadjpg,,not owned by a public authority,not permissioned,,,54.534237,-1.203008,1.08,38,38,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR28,"Ford Close Riding School, Brass Castle Lane",https://www.middlesbrough.gov.uk/files/brownfields-register-br28-ford-close-riding-schooljpg,,not owned by a public authority,not permissioned,,,54.519106,-1.168683,0.97,9,9,2017-12-11,,. Part of a larger allocated housing site with additional 4.47 ha of greenfield.,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR29,303-307 Linthorpe Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br29-303-307-linthorpe-roadjpg,,not owned by a public authority,permissioned,full planning permission,,54.567773,-1.240017,0.04,8,8,2017-12-11,,". Change of use to 2no hot food takeaways on ground floor, 1no residential dwelling at rear & 7no flats, alterations to elevations.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR30,Gresham,https://www.middlesbrough.gov.uk/files/brownfields-register-br30-greshamjpg,yes,mixed ownership,not permissioned,,,54.572572,-1.241475,4.8,110,110,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR31,Rear of Crescent Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br31-rear-crescent-roadjpg,,not owned by a public authority,permissioned,full planning permission,,54.566018,-1.242431,0.12,72,72,2017-12-11,,". Erection of 3 storey student residential accommodation containing 6no 12 studios with associated access, parking with 2no alley gates.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR32,"44 Westbourne Grove, North Ormesby",https://www.middlesbrough.gov.uk/files/brownfields-register-br32-44-westbourne-grove-north-ormesbyjpg,yes,not owned by a public authority,permissioned,full planning permission,,54.5698,-1.214056,0.04,8,8,2017-12-11,,. Erection of 8no 1 bed self-contained flats with associated boundary works (demolition of existing building).,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR33,"Middlesbrough Warehousing, James Street, North Ormesby",https://www.middlesbrough.gov.uk/files/brownfields-register-br33-middlesbrough-warehousing-james-streetjpg,,mixed ownership,not permissioned,,,54.573522,-1.21004,2.42,85,85,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR34,35 Park Road South,https://www.middlesbrough.gov.uk/files/brownfields-register-br34-35-park-road-southjpg,,not owned by a public authority,permissioned,reserved matters approval,,54.562616,-1.238783,0.06,22,22,2017-12-11,,. Demolition of existing building and the erection of a 4.5 storey block comprising 10no 2bed & 12no 1 bed self contained flats with parking and landscaping.,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR35,368-374 Linthorpe Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br35-368-374-linthorpe-roadjpg,,not owned by a public authority,not permissioned,,,54.563576,-1.24144,0.76,26,26,2017-12-11,,. Identified for 26 student beds in the HLAA.,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR36,"Sporting Lodge, Low lane, Stainton",https://www.middlesbrough.gov.uk/files/brownfields-register-br36-sporting-lodge-low-lane-staintonjpg,,not owned by a public authority,not permissioned,,,54.52585,-1.265177,4.72,91,91,2017-12-11,,,9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
2017-12-11,local-authority-eng:MDB,BR37,56 Cargo Fleet Road,https://www.middlesbrough.gov.uk/files/brownfields-register-br37-56-cargo-fleet-roadjpg,,not owned by a public authority,permissioned,full planning permission,,54.553329,-1.183202,0.11,13,13,2017-12-11,,". Part 2 storey, part 3 storey residential block of 13no. 2B flats with car park and associated works.",9a9cd03a86267330d3e237bc15cf867d30c39a3d2a7673483c334ef314abefa4
