entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-11,local-authority-eng:RCC,464,54.555829,-1.159834,0.17,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,136,54.539524,-1.054712,0.27,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,387,54.605045,-1.057576,1.4,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,360,54.550708,-0.891035,1.38,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,389,54.557688,-0.886763,0.41,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,392,54.557402,-0.889832,3.11,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,457,54.544640,-0.983966,0.81,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,456,54.554237,-0.892609,0.28,10,10,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,376,54.536596,-1.057268,0.48,40,40,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,405,54.560263,-0.972613,0.33,10,10,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,472,54.557763,-1.140837,0.18,,,2017-11-10,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,135,54.576737,-1.165608,11.2,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,452,54.566107,-1.159298,1.15,40,40,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,413,54.596019,-1.074640,0.55,19,19,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,476,54.558091,-0.964549,0.18,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,519,54.584530,-0.972868,0.02,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,460,54.556625,-1.164364,0.46,12,12,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,18,54.553280,-1.168035,0.96,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,345,54.620390,-1.072136,0.09,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,529,54.618096,-1.068347,0.02,5,5,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,530,54.557684,-1.141070,0.01,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,531,54.619986,-1.074607,0.02,,,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,528,54.598827,-0.958185,0.19,7,7,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
2018-12-11,local-authority-eng:RCC,532,54.557848,-0.958185,0.14,8,8,2018-12-11,,a4a0239efc1fcba615cd294a21c5721e1b2c77a63d57e6eb1b982dafdf9a6386
