entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-12-03,local-authority-eng:NDE,BFL/BAR/001,"Borough Arms, Forches Estate Barnstaple EX32 8ED",,yes,not owned by a public authority,permissioned,full planning permission,,51.076921,-4.044018,0.21,11,11,2017-08-02,2017-06-30,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/SMO/002,"Garages off Churchill Crescent, South Molton EX36 4EL",,yes,not owned by a public authority,permissioned,full planning permission,,51.013167,-3.840096,0.16,7,7,2017-08-02,2018-03-31,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/BAR/003,"Beaufort Walk, Gorwell Barnstaple EX32 7JD",https://www.northdevon.gov.uk/media/379737/bfl-bar-003-beaufort-walk-barnstaple-1-1250.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.083756,-4.047075,0.41,27,27,2017-08-02,,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/BRA/004,"Knowle Industrial Estate, Knowle BRAUNTON EX33 2NA",,yes,not owned by a public authority,permissioned,reserved matters approval,,51.126122,-4.156664,0.3,1,1,2017-08-02,2019-12-03,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/ILF/005,"Former Liberal Club, 133 High Street ILFRACOMBE EX34 9EZ",,yes,not owned by a public authority,permissioned,full planning permission,,51.20837,-4.12205,0.02,3,3,2017-08-02,2019-12-03,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/ILF/006,"Willow Court, Torrs Park ILFRACOMBE EX34 8AZ",https://www.northdevon.gov.uk/media/379756/bfl-ilf-006-willow-court-torrs-park-ilfracombe-1-1250.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.206531,-4.130684,0.24,6,6,2017-08-02,,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/ILF/007,"Palm Court Hotel, Runnacleave Road ILFRACOMBE EX34 8AH",,yes,not owned by a public authority,permissioned,full planning permission,,51.209299,-4.125858,0.09,14,23,2017-08-02,2019-12-03,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/MOR/008,"Car Park adjacent Sandy Lane Court, Sandy Lane Woolacombe EX34 7DG",,yes,not owned by a public authority,permissioned,full planning permission,,51.173535,-4.20633,0.12,12,12,2017-08-02,2019-03-31,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/SMO/009,"103 East Street, SOUTH MOLTON EX36 3DF",,yes,not owned by a public authority,permissioned,full planning permission,,51.018431,-3.830153,0.05,2,2,2017-07-25,2018-03-31,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/SMO/010,"The Old Savoy Cinema, New Road SOUTH MOLTON EX36 4BH",,yes,not owned by a public authority,permissioned,full planning permission,,51.017843,-3.83157,0.03,6,10,2017-08-02,2019-12-03,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/BAR/011,"Brunswick Wharf, North Walk BARNSTAPLE EX31 1JE",,yes,not owned by a public authority,permissioned,full planning permission,,51.082421,-4.062622,0.11,12,12,2017-08-02,2018-03-31,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/GEO/012,"Bay View Farm, Croyde Road Croyde Braunton EX33 1PN",https://www.northdevon.gov.uk/media/379754/bfl-geo-012-bay-view-caravan-park-croyde-1-750.pdf,,not owned by a public authority,not permissioned,,,51.126987,-4.226592,0.25,3,6,2017-08-02,,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/EAN/013,"Former Blackerton Care Village, East Anstey Tiverton EX16 9JT",,yes,not owned by a public authority,permissioned,reserved matters approval,,51.007473,-3.628235,2.65,9,9,2017-08-02,2017-03-31,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
2019-12-03,local-authority-eng:NDE,BFL/BAR/014,"Bryan House, 25 Pilton Street Barnstaple EX31 1PJ",,yes,not owned by a public authority,permissioned,full planning permission,,51.086969,-4.062253,,5,5,,2018-03-31,aeee3c7132caf1234a0a45deecce17dff25e0c65e24d71b16eb6704b59c8867e
