entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,4,181284,359970,1.19,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,7,181160,359827,2.33,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,13,173238,364631,4.81,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,23,179941,358779,0.32,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,24,192411,367419,2.08,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,25,191055,363800,0.94,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,30,182458,372332,0.5,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,33,183159,368216,0.15,2016-06-30,2019-04-01,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,34,183262,368324,0.3,2016-06-30,2019-04-01,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,39,180539,359634,0.46,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,45,169722,368191,7.42,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,46,180373,357241,142.97,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,49,180539,359634,6.24,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,52,172430,364160,0.12,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,61,173603,366625,0.06,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,62,179784,365026,1.1,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,64,181546,375075,0.26,2016-06-30,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
2018-12-31,http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,70,188458,363057,0.3,2017-12-31,,b3c8b888e4afcf72d7f606ddf8498a70eb6793ae0eefd4fa43d4bef7d84cfc19
