entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-10-30,local-authority-eng:ADU,ADCBR1,"https://www.adur-worthing.gov.uk/media/media,146438,en.pdf",50.838812,-0.310872,0.21,6,6,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR2,"https://www.adur-worthing.gov.uk/media/media,146439,en.pdf",50.833945,-0.270247,0.08,14,14,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR5,"https://www.adur-worthing.gov.uk/media/media,146442,en.pdf",50.832176,-0.278322,0.1,6,6,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR8,"https://www.adur-worthing.gov.uk/media/media,146445,en.pdf",50.83316,-0.268274,0.6,75,120,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR9,"https://www.adur-worthing.gov.uk/media/media,146446,en.pdf",50.83128,-0.24416,0.3,33,33,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR10,"https://www.adur-worthing.gov.uk/media/media,146447,en.pdf",50.822044,-0.323616,0.09,13,13,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR11,"https://www.adur-worthing.gov.uk/media/media,146448,en.pdf",50.833937,-0.274522,0.57,27,27,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR12,"https://www.adur-worthing.gov.uk/media/media,146449,en.pdf",50.83578,-0.228908,0.7,36,36,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR13,"https://www.adur-worthing.gov.uk/media/media,146450,en.pdf",50.830851,-0.250282,0.47,45,90,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
2018-10-30,local-authority-eng:ADU,ADCBR14,"https://www.adur-worthing.gov.uk/media/media,146451,en.pdf",50.832169,-0.265712,2.8,540,540,2017-10-16,,b54fd417cd08c24c5398c73ce67762744db3b08b59689c9356f2cb74575910f0
