entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,transport-authority:Q7834921,,,,,,,,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/02727/BRWN,51.908063,-0.524563,0.75,20,25,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/02732/BRWN,52.008922,-0.307983,2.85,53,77,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/02756/BRWN,52.022998,-0.334809,1.10,30,40,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/02767/BRWN,51.894310,-0.535667,1.19,60,70,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/02769/BRWN,51.888524,-0.514494,5.04,170,170,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/02794/BRWN,51.885937,-0.505483,3.19,100,100,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/03020/BRWN,52.021866,-0.224024,1.39,43,62,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/16/03103/BRWN,52.006730,-0.305035,0.38,13,13,2016-07-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
2018-12-31,local-authority-eng:CBF,CB/17/05977/BRWN,52.014088,-0.302090,220,700,1000,2017-12-18,,b5cba9e1380a55b1599df756ca93de088ba994bb05bbefd9c2bdf1c4ab7440e0
