entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:EDN,17/BOL/0031,"Eden Grove, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0633/0633-P-01_Existing_Site_and_Location_Plan%20%20A1.pdf,yes,,54.606033,-2.56058,0.2947,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0133,"Richardsons Timber Merchants, Scotland Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0133,,,54.671034,-2.759423,0.32074,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0050,"69 Gilwilly Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0050,yes,,54.665421,-2.760246,0.331,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/EAM/0002,"Park Holme, Eamont Bridge",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0151/0151-Site-Location-Plan.pdf,yes,,54.649699,-2.739887,0.35,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/ALS/0049,"Tyne Café and garage buildings, Alston",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/ALS/0049,yes,,54.810784,-2.441441,0.351,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0046,"Armstrong and Fleming Garage, Roper Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0771/17-0771-Site-Location-Plan.pdf,yes,,54.661855,-2.747707,0.358307,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/GSA/0009,"Townhead Farm, Great Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1079/1079-Site-Plan.pdf,yes,,54.725092,-2.698593,0.4,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0128,"Land at NBM Travel, Cromwell Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0128,,,54.662994,-2.757868,0.418342,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/SOU/0045,"South Lodge, Southwaite",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0708/Existing%20Site%20Plan%20-%20uses.pdf,yes,,50.390501,-2.788211,0.45,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/CLK/0141,"Clickham Inn Units, Clickham, Blencow",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CLK/0141,,,54.670382,-2.828166,0.454182,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0130,"Telephone Exchange, Friargate, Penrith, CA11 7XR",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0130,,,54.664078,-2.74804,0.483729,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/APP/0053,"Land at Westmorland Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0053,yes,,54.582281,-2.488586,0.504,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0132,"Old Fire Station, Bridge Lane, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0132,,,54.657472,-2.744471,0.575386,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0048,"QEGS Annexe, Ullswater Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0048,yes,,54.66059,-2.757672,0.579,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/NEN/0047,"Wright Bros Garage, Nenthead",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEN/0047,yes,,54.787945,-2.343207,0.586,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/SHA/0052,"Former Food Factory, Shap",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/SHA/0052,,,54.522539,-2.674173,0.631,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0051,"Myers Lane depot, Norfolk Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0051,yes,,54.662404,-2.760054,0.634,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/APP/0054,"Land at Belgravia, off Long Marton Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0054,yes,,54.584671,-2.492546,0.66,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/CUL/0073,"Lime Tree Farm, Culgaith, Penrith, CA10 1QW",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CUL/0073,yes,,54.660453,-2.609928,0.76,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/GLA/0139,"Farmyard Adjacent Midtown Farm, Glassonby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/GLA/0139,yes,,54.74317,-2.657507,0.8,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/KIN/0091,"Land at Hill Top Farm, Kings Meaburn",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/KIN/0091,,,54.583295,-2.589171,0.84,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/HHE/0044,"Land at Old Town, High Hesket",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0841/2.%2012-47-PL110a%20Site%20Location%201-2500%20at%20A4.pdf,yes,,54.785963,-2.810747,1.05,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/GRE/0033,"Mayflower Cottage, Greystoke Gill",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0218/Site%20Location%20Plan.pdf,yes,,54.660057,-2.853906,1.5,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/CDY/0146,"Land at Wetheriggs Pottery, Clifton Dykes, Penrith CA10 2DH",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CDY/0146,yes,,54.629445,-2.690849,1.6,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/LSA/0003,"Former Thompsons Board Mill, Little Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0354/0354-Location%20Plan%20-%20fmr%20Thompsons%20Board%20Paper%20Mill%20Little%20Salkeld.pdf,yes,,54.711784,-2.674538,1.83,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/EAM/0001,"Land at Beacon Farm, Eamont Bridge",http://eforms.eden.gov.uk/fastweb_upload/2009%20Planning%20Applications/09-0098/0098-Site-Plan.pdf,yes,,54.652448,-2.744401,1.91,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/NEWS/0123,"Land at Newbiggin, Blencow Quarry, Quarry Lane, Newbiggin, CA11 0DE",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEWS/0123,yes,,54.664597,-2.830389,3.11,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/BOL/0043,"Eden Grove, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0728/PL-01%20Existing%20Site%20Location%20Plan.pdf,yes,,54.605713,-2.561799,8.5,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,17/PEN/0027,"21 Sandgate, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1027/1027-Location-Plan.pdf,yes,,54.665608,-2.749835,,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/KST/0001,"Potlands House, South Road, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0075/17-0075-Amended-Location-Plan.pdf,yes,,54.463183,-2.355679,0.4,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/YAN/0002,"Former Yanwath Care Home, Yanwath",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0159/17-0159-Site%20Location%20Plan.pdf,yes,,54.643918,-2.759177,0.5,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/NEWS/0003,"Land at Fell View, Newbiggin",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0725/17-0725-Location-Plan.pdf,yes,,54.657377,-2.822212,0.26,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/APP/0004,"The Croft, Low Wiend, Appleby",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0764/17-0764-Site-Location-Plan.pdf,yes,,54.578406,-2.492281,0.26,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/ALS/0005,"High Plains Lodge, Alston",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-1054/17-1054-Site-Location-Plan.pdf,yes,,54.785775,-2.427088,0.5,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/SHA/0006,"East House, Main Street, Shap",http://eforms.eden.gov.uk/fastweb_upload/2018%20Planning%20Applications/18-0019/18-0019-Block-Plan.pdf,yes,,54.527309,-2.674619,0.3,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/TEM/0007,"Temple Sowerby House Hotel, Temple Sowerby",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0284/17-0284-Location%20Plan.pdf,yes,,54.636023,-2.604047,0.6,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/STA/0008,"The Lakes Free Range Egg Co. Meg Bank, Stainton",http://eforms.eden.gov.uk/fastweb_upload/2018%20Planning%20Applications/18-0006/18-0006-Site-Location-Plan.pdf,yes,,54.647203,-2.79332,0.28,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/HAR/0009,"Salt Pie Hall, Hartley",http://eforms.eden.gov.uk/fastweb_upload/2018%20Planning%20Applications/18-0031/18-0031-Site-Location-Plan.pdf,yes,,54.472589,-2.336997,0.37,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/HNM/0010,"Leavy Holme, Hesket Newmarket",http://eforms.eden.gov.uk/fastweb_upload/2018%20Planning%20Applications/18-0195/18-0195-Location%20Plan.pdf,yes,,54.72762,-2.981481,1.3,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
,local-authority-eng:EDN,18/HUT/0011,"Goodbourne Croft, Hutton Row",http://eforms.eden.gov.uk/fastweb_upload/2018%20Planning%20Applications/18-0541/Plans-and-Supporting-Documents/18-0541-site-location-plan.pdf,yes,,54.734473,-2.846914,0.3,,,,,b5e9dd3666d454af94d390b2e44f92cdb58f9e66840f1e9163c8384ac99f6b45
