entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-14,local-authority-eng:HUN,HDCBLR02,52.326003,-0.184985,0.60,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR03,52.226135,-0.253470,2.60,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR04,52.223604,-0.255604,0.60,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR06,52.451431,-0.110341,0.70,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR07,52.449319,-0.112094,0.90,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR08,52.435699,-0.129183,25.00,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR09,52.435338,-0.122328,2.00,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR10,52.454471,-0.113773,1.70,,,2017-12-20,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR11,52.454029,-0.114292,1.00,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR12,52.332154,-0.190883,3.50,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR13,52.366541,-0.219002,84.00,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR14,52.326271,-0.174937,2.60,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR15,52.537005,-0.230498,0.26,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR16,52.231914,-0.265514,0.75,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR17,52.453516,-0.107514,0.40,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR18,52.332162,-0.184953,0.25,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
2018-12-14,local-authority-eng:HUN,HDCBLR19,52.196832,-0.248034,0.46,,,2018-12-14,,bdb8761a3efe999199cf6be196ea1d85a36c7d58987e2f208107e8086d36d9f6
