entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
,transport-authority:Q7834921,,,,,,,,,c0f874ac423d633e2fb43f9c547cdd2642338e96ec4e10d746987ac4a04d0df4
