entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-31,local-authority-eng:CHI,BLR0002,54.190929,-6.499367,7.42,160,,2017-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2019-12-31,local-authority-eng:CHI,BLR0003,54.181122,-6.545062,0.68,41,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0004,54.179591,-6.667190,0.14,10,,2017-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0005,54.182547,-6.487259,0.5,10,,2017-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0007,54.365644,-6.141565,1.47,1,,2017-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0008,54.225115,-6.503905,0.27,3,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0009,54.179260,-6.526700,0.55,16,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0010,54.185501,-6.519361,0.2,6,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0011,54.185769,-6.535649,0.69,20,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2019-12-31,local-authority-eng:CHI,BLR0012,54.202915,-6.523720,2.15,208,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0013,54.227655,-6.499990,1.21,36,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0014,54.165012,-6.525463,0.33,6,,2017-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2017-12-31,local-authority-eng:CHI,BLR0015,54.370065,-6.224367,0.6,11,,2017-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2018-12-31,local-authority-eng:CHI,BLR0016,54.119585,-6.504039,0.16,8,,2018-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2018-12-31,local-authority-eng:CHI,BLR0017,54.121258,-6.512200,0.75,10,,2018-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2018-12-31,local-authority-eng:CHI,BLR0018,54.123325,-6.636529,0.24,10,,2018-12-31,2019-12-31,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2018-12-31,local-authority-eng:CHI,BLR0019,54.169357,-6.526889,0.62,37,,2018-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2018-12-31,local-authority-eng:CHI,BLR0020,54.133851,-6.639086,2.1,85,,2018-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2019-12-31,local-authority-eng:CHI,BLR0021,54.170718,-6.713341,0.12,7,,2019-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
2019-12-31,local-authority-eng:CHI,BLR0022,54.165760,-6.704850,0.26,5,,2019-12-31,,c25f8b97bd93f47ed272489a7be50e98514ec5affb1f9879fe434b1dde03b00e
