entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.52592,-2.490766,0.8,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.548882,-2.620543,0.26,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.538914,-2.701076,0.31,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.536244,-2.63641,0.27,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.548758,-2.672208,0.15,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.556125,-2.660248,0.11,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.546952,-2.641273,0.64,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.540282,-2.705759,0.33,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.47749,-2.596622,0.13,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.54599,-2.601398,0.74,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.528271,-2.610228,0.3,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.522908,-2.466919,0.23,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
