entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-03-31,local-authority-eng:TEN,15/00578/FUL,51.789301,1.156828,0.16,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,15/00615/FUL,51.946200,1.289262,0.02,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2018-03-31,local-authority-eng:TEN,17/01038/FUL,51.848196,1.271002,0.07,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,17/01048/FUL,51.841011,1.158320,0.46,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,16/01358/FUL,51.773360,1.118360,0.02,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,11/01124/FUL,51.929875,1.245941,0.1,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,18/01010/FUL,51.926884,1.210781,0.62,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,17/01479/FUL,51.944707,1.064189,0.04,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,15/01791/FUL,51.940505,1.284960,0.05,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,15/01634/FUL,51.943954,1.081013,0.21,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,16/01829/FUL,51.789086,1.154419,0.07,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,14/01560/FUL,51.889160,1.035097,0.48,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
