entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-04-09,local-authority-eng:EDE,BL1,"Land at Ottery Moor Lane, Honiton",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.196595&lat=50.798131,yes,not owned by a public authority,permissioned,outline planning permission,,50.798131,-3.196595,1.13,100,100,2016-09-16,,"This site is an allocation in the Local Plan for housing development, SHLAA322  formerly part of an industrial estate. Outline planning application for residential development of up to 150no. dwellings; access to be considered all other matters reserved",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL2,"Land at Ottery Moor Lane, Honiton",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.199231&lat=50.799265,yes,not owned by a public authority,permissioned,outline planning permission,,50.799265,-3.199231,3.59,50,50,2016-09-16,,"This site is an allocation in the Local Plan for housing development, SHLAA 321 formerly part of an industrial estate. Site in 2 parts, see above.",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL3,"Land at Pankhurst Close Trading Estate, Pankhurst Close, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.379149&lat=50.622969,yes,not owned by a public authority,permissioned,full planning permission,,50.622969,-3.379149,1.27,50,50,2016-09-16,,Site was formerly in employment use. Site has a planning application which at March 2016 had a resolution to grant permision and was awaiting a 106 agreement. Allocated in local plan SHLAA317.. Redevelopment to provide 50 residential units (including 20 affordable units),ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL5,"Land and buildings at Winslade Park, Clyst St Mary",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.44639&lat=50.703212,yes,not owned by a public authority,pending decision,,,50.703212,-3.44639,8,150,150,2016-09-16,,"This site is an allocation in the  Local Plan for mixed use redevelopment , W344. Application not approved.. 14/2641 conversion of Winslade House to 61 residential units approved 18.05.2016. Hybrid outline application for 150 dwellings  including full permission for 67 dwelling (conversion of Winslade House and stables, and 0.7ha of employment land use).",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL6,"Land and buildings at 34 Cranford Avenue, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.388332&lat=50.620487,yes,not owned by a public authority,permissioned,full planning permission,,50.620487,-3.388332,0.37,12,12,2016-05-16,,Works that constitute start on site 2016 but not complete. Demolition of existing dwelling and construction of 12 no apartments,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL7,"Land North Of Acland Park, Feniton",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.28035&lat=50.789126,,not owned by a public authority,permissioned,full planning permission,,50.789126,-3.28035,0.56,32,32,2016-05-16,,"Application refused but allowed by appeal in 2014, S106 agreement progressed 2018. Redevelopment of site and construction of 32 dwellings",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL8,"Land and Buildings at Former Cuttler Hammer Factory and Tumbling Weir Hotel Car Park, Ottery St Mary",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.283934&lat=50.749288,yes,not owned by a public authority,permissioned,full planning permission,,50.749288,-3.283934,1.73,92,92,2016-05-17,,"Part of a Floodzone 2. Townhouses under construction and building work started on conversioin of the old Switchgear factory.. Redevelopment of parcels of land making up the overall former Cuttler Hammer  factory site and Tumbling Weir hotel car park. Comprising conversion of building to30 apartments, construction of 33 new dwellings and construction of 29 retirement apartments.  West part of site substantially complete but factory site in progress and Tumbling Weir car park not started construction..",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL9,"Land and buildings at Salston Manor Hotel, Ottery St Mary",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.289625&lat=50.741453,yes,not owned by a public authority,permissioned,full planning permission,,50.741453,-3.289625,2.12,27,27,2016-05-17,,. Change of use alteration and conversion of hotel and demolition and construction of side extension to provide 27 residential flats,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL10,"Land at Seaton Quay (Former Racal Site), Riverside Way Seaton Devon",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.059885&lat=50.705171,,not owned by a public authority,permissioned,outline planning permission,,50.705171,-3.059885,1.21,90,90,2016-09-16,,Part of a Floodzone 2.. Erection of 90 apartments (2 bedroom) new access public quayside and flood protection (Renewal of planning permission 08/2627/MOUT),ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL11,Land at 14 Summerfield Sidmouth Devon,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.235533&lat=50.699745,yes,not owned by a public authority,permissioned,full planning permission,,50.699745,-3.235533,0.21,5,5,2016-09-16,,Approved plans 2017. Demolition of existing dwelling and construction of five chalet bungalows,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL12,"Land At Frys Lane, Sidford",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.227314&lat=50.704094,yes,not owned by a public authority,permissioned,outline planning permission,,50.704094,-3.227314,0.3,12,12,2016-09-16,,". Appeal allowed for construction of 12 dwellings, Reserved Matters pending consideration. Reserved Matters application withdrawn 5.4.2018",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-04-09,local-authority-eng:EDE,BL13,"Land at Victoria Hotel, The Esplanade, Sidmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.243905&lat=50.676812,yes,not owned by a public authority,permissioned,reserved matters approval,,50.676812,-3.243905,0.19,14,14,2016-09-16,,. Erection of two buildings comprising a total of 14 apartments - part of foundations formed.,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL15,"Fosse Way Court, Seaton",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.068003&lat=50.703240,yes,not owned by a public authority,permissioned,full planning permission,,50.70324,-3.068003,0.15,30,30,2016-09-16,,Part of a Floodzone 2. Plans progressed 2017.. Refurbishment and extension of existing apartment blocks (inc additional levels) and construction of new link apartment block to provide an additional 30 apartments,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL16,"Land at the Boatyard, The Harbour, Axmouth, Seaton",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.059256&lat=50.704205,yes,not owned by a public authority,permissioned,outline planning permission,,50.704205,-3.059256,0.13,7,7,2016-09-16,,Part of a Floodzone 2.. Demolition of existing building and erection of 7  residential units and 2  commercial units,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL17,"Land to the rear of The London Inn, Gold Street, Ottery St Mary",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.277089&lat=50.751124,yes,not owned by a public authority,permissioned,full planning permission,,50.751124,-3.277089,0.06,13,13,2016-05-17,,Part of a Floodzone 2.. Construction of 13 apartments to include provision of bicycle and bin storage facilities,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL18,Central Place High Street Honiton,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.189957&lat=50.799081,yes,not owned by a public authority,permissioned,full planning permission,,50.799081,-3.189957,0.03,6,6,2016-05-16,,. Demolition of garages erection of 5 dwellings and conversion of existing building to form 1 dwelling,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL20,"Land and buildings at 6 Portland Avenue, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.402647&lat=50.616524,yes,not owned by a public authority,permissioned,full planning permission,,50.616524,-3.402647,0.1,10,10,2016-05-16,,. Alterations and extensions to create 9no apartments. Work constituting commencement 2016,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL21,"Land at 9B Camperdown Terrace, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.420121&lat=50.618166,yes,not owned by a public authority,permissioned,full planning permission,,50.618166,-3.420121,0.09,12,12,2016-05-13,,Part of a Floodzone 2. Work constituting start on site 2105.. Renewal of permission 07/0856/MFUL proposing the construction of 12 flats,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL22,"The Council Yard, Manstone Avenue, Sidmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.237798&lat=50.696129,yes,owned by a public authority,not permissioned,,,50.696129,-3.237798,0.55,20,20,2016-09-20,,"The site is allocated in the East Devon Local Plan 2013 - 2031 for residential development, site ED01",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL23,Land and buildings at Port Royal Sidmouth,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.233849&lat=50.678369,yes,owned by a public authority,not permissioned,,,50.678369,-3.233849,0.3,30,30,2016-09-20,,"Part of a Floodzone 2. The site is allocated in the East Devon Local Plan 2013 - 2031 for mixed use development, site ED03. Temporary use for car park, application for renewal of consent for this use 22.5.18",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL24,"Land at Webster Garage Site, Axminster",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-2.996858&lat=50.781258,yes,not owned by a public authority,not permissioned,,,50.781258,-2.996858,0.28,25,25,2016-09-16,,"Site identified as offering scope for housing development and referred to as such in the East Devon Local Plan, site E173.",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL25,Lympstone Nurseries Church Road Lympstone,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.423774&lat=50.647866,yes,not owned by a public authority,not permissioned,,,50.647866,-3.423774,0.68,6,6,2016-09-16,,Site is allocated in the Made Lympstone Neighbourhood Plan for residential development,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL26,Council Offices The Knowle Station Road Sidmouth,http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.245229&lat=50.684071,yes,owned by a public authority,permissioned,full planning permission,,50.684071,-3.245229,1.69,75,75,2016-09-20,,The site is allocated for resdiential development in the local plan. Appeal allowed 22.1.2018. Construction of assisted living community for older people,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL27,"Air Training Corps Hall, St Marks Road, Honiton",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.2015&lat=50.792054,yes,not owned by a public authority,permissioned,full planning permission,,50.792054,-3.2015,0.11,7,7,2017-11-09,,London building control so no record of site inspection.  Not rated for council tax. Demolition of old hall and erection of 7 terraced houses with associated parking (windfall),ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL28,"1, Sarlsdown Road, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.392154&lat=50.621049,yes,not owned by a public authority,permissioned,full planning permission,,50.621049,-3.392154,0.23,10,10,2017-11-09,,Building control notice but no inspections recorded. Not rated for concil tax for dwellings.. Demolition of existing property and construction of new build 10 apartments,ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL29,"Davey Court, Buckingham Close, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.384835&lat=50.622646,yes,,permissioned,full planning permission,,50.622646,-3.384835,0.53,30,30,2017-11-09,,"BC initial notice but no record of start on site and no concil tax records for dwellings.. Construction of three-storey retirement living apartment block, comprising 30  retirement apartments",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
2018-06-14,local-authority-eng:EDE,BL30,"12 and 14 Morton Road, Exmouth",http://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/brownfield-site/?long=-3.417246&lat=50.617386,yes,,permissioned,full planning permission,,50.617386,-3.417246,0.04,10,10,2017-11-09,,"No council tax record for new dwellings. Change of use of Nursing Home to 10 residential apartments, including the construction of rear extensions",ccf1e5ed6b2f62728d94bed3665bbdd7381d736b94b28fd066a21fb96ee9f23d
