entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC104b,51.800701,-0.201087,9.09,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC104c,51.799349,-0.203185,2.07,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat102,51.748552,-0.234075,1.85,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC135e,51.806137,-0.19958,1.2,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat136,51.759967,-0.244511,1.6,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC109,51.81035,-0.191128,2.19,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC123,51.802839,-0.2056,1.42,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat134,51.759271,-0.221201,8.29,2019-10-31,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGr101,51.855783,-0.183534,2.19,2019-10-31,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC135a,51.806272,-0.197862,1.51,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat101b,51.763618,-0.224762,0.82,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat111,51.766432,-0.227115,0.88,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC148,51.801511,-0.193414,0.99,2019-10-31,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC141,51.80122,-0.1946,0.64,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC137,51.801648,-0.198293,0.24,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC120c,51.783463,-0.183885,0.4,2019-10-31,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC135g,51.784319,-0.200454,0.57,2018-12-13,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC104d,51.79812,-0.20126,0.61,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC114,51.799597,-0.192979,0.45,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC135f,51.80569,-0.198611,0.26,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC136,51.797819,-0.200142,0.22,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC119,51.794077,-0.193635,0.43,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC135c,51.806058,-0.197378,0.4,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat126,51.768322,-0.215374,0.11,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat104,51.76319,-0.214316,0.94,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC139,51.801523,-0.197761,0.19,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC116,51.790831,-0.191894,0.25,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat139a,51.763145,-0.214927,0.07,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC135h,51.806689,-0.199006,0.17,2019-10-31,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat113,51.74459,-0.229522,0.27,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC138a,51.80238,-0.20803,0.05,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Cuf108,51.708424,-0.108555,0.1,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Wel007c,51.820287,-0.223595,0.39,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Wel007d,51.820221,-0.223975,5.92,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2017-12-15,http://opendatacommunities.org/id/district-council/welwyn-hatfield,Hat106,51.762938,-0.230383,0.1,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2018-12-13,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC145,51.789756,-0.180607,0.25,2018-12-13,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
2019-10-31,http://opendatacommunities.org/id/district-council/welwyn-hatfield,WGC138b,51.80238,-0.20803,0.05,2017-12-15,,cefaf045f0ed9528a787ec96ac349455ad8d92a0aa21003571c81037a43e2a2c
