entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-20,local-authority-eng:GRY,BFR1,52.604397,1.729122,0.04,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR2,52.615404,1.720940,1.19,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR3,52.599037,1.733659,0.04,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR4,52.601305,1.735344,0.02,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR5,52.585926,1.725011,0.26,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR6,52.584387,1.714160,5.08,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR7,52.606097,1.725705,0.02,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR8,52.606112,1.720639,0.04,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR10,52.600079,1.733408,0.02,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR11,52.605811,1.729079,0.02,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR13,52.613857,1.720927,0.12,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR14,52.613500,1.721118,0.12,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR15,52.608637,1.725035,0.05,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR17,52.559743,1.711515,0.02,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR18,52.598537,1.723837,0.5,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR19,52.571755,1.713682,0.81,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR21,52.606180,1.727633,0.03,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR22,52.596224,1.728441,0.07,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR23,52.600734,1.733744,0.01,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR24,52.604799,1.725787,0.03,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR25,52.619437,1.734229,0.03,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR26,52.608650,1.714324,0.17,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR27,52.599501,1.722944,0.12,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR28,52.618005,1.730013,2.18,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR29,52.604479,1.735939,0.22,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR31,52.610482,1.720980,40,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR32,52.599926,1.723143,0.18,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR33,52.602993,1.726875,0.01,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR34,52.616020,1.733347,0.01,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR35,52.608362,1.736315,0.01,,,2017-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR36,52.618407,1.734097,0.01,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR37,52.585016,1.725038,0.12,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR38,52.607191,1.731502,0.22,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR39,52.595842,1.724303,0.18,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BRF40,52.579154,1.730668,0.17,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR41,52.608003,1.724877,0.05,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR42,52.588424,1.727084,0.48,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
2018-12-20,local-authority-eng:GRY,BFR43,52.605031,1.735824,0.01,,,2018-12-20,,d1b37c7ad6a7997598fcd0de2882081d7c063e3b14099e12fc2bb69d06ea2d3b
