entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-06,local-authority-eng:DEB,SHLAA141,Trevelyan House,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA141_-_Trevelyan_House.pdf,yes,not owned by a public authority,permissioned,full planning permission,,53.141519,-1.560219,0.98,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA199,Harveydale Quarry,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA199_-_Harveydale_Quarry.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,53.133163,-1.556868,1.16,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA204,"Former Mirage Hotel, Derby Road",http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA204_-_Mirage_Hotel.pdf,yes,not owned by a public authority,not permissioned,,,53.008199,-1.71797,0.41,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA217,Haarlem Mill,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA217_-_Haarlem_Mill.pdf,yes,not owned by a public authority,permissioned,full planning permission,,53.070124,-1.576585,3.28,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA266,"Land at Ashbourne Airfield, Phase 2",http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA266_-_Ashbourne_Airfield_phase_2.pdf,yes,not owned by a public authority,not permissioned,,,53.001266,-1.699701,58.6,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA269,Land at Middleton Road,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA269_-_Middleton_Road_and_Cromford_Road.pdf,yes,not owned by a public authority,not permissioned,,,53.088566,-1.572986,9.46,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA279,"Old Hall Farm, Barway",http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA279_-_Old_Hall_Farm.pdf,yes,not owned by a public authority,permissioned,reserved matters approval,,52.937241,-1.797493,0.98,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA28,St Elphin's Park Dale Road South,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA28_-_St_Elphins_Park.pdf,yes,not owned by a public authority,permissioned,full planning permission,,53.154982,-1.579073,6.31,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA281,Land at Stancliffe Quarry,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA281_-_Land_At_Stancliffe_Quarry.pdf,,not owned by a public authority,not permissioned,,,53.170451,-1.601188,10.16,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
2017-12-06,local-authority-eng:DEB,SHLAA305,The Firs Wyaston,http://www.derbyshiredales.gov.uk/images/documents/B/Brownfield_Land_Register_Part_One_SHLAA305_-_The_Firs.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,52.977634,-1.725994,2.1,,,2017-12-06,,db3cf1c85effe6e0a4b87502581d21c46e79e3b6d1ed5074bc0469963be46df7
