entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-31,local-authority-eng:REI,RBBCBLR001,"NRT Electrical & Mechanical, Castle House, Park Road, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3819/rbbcblr001,yes,not owned by a public authority,permissioned,full planning permission,,54.612709,-0.05178,0.18,10,10,2017-12-31,,. Conversion of ground floor and first floor of southern wing of Castle House from office use to residential use.,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR002,"Hengest Farm, Woodmansterne Lane, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3820/rbbcblr002,yes,not owned by a public authority,permissioned,full planning permission,,51.325602,-0.187699,0.59,7,7,2017-12-31,,. Permission to demolish the existing buildings on site to provide 7 dwellings.,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR003,"8 Brighton Road, Hooley",http://www.reigate-banstead.gov.uk/downloads/file/3822/rbbcblr003,yes,not owned by a public authority,permissioned,full planning permission,,51.295294,-0.153622,0.1,5,5,2017-12-31,,. Conversion of detached 7 bedroomhouse to 5 flats.,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR004,"Courtlands Farm, Park Road, Banstead",http://www.reigate-banstead.gov.uk/downloads/file/3825/rbbcblr004,yes,not owned by a public authority,permissioned,full planning permission,,51.317693,-0.184509,2.5,9,9,2017-12-31,,". Removal of hardstanding and buildings, erection of 9 detached houses and retained bunker.",debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR005,"Kingswood Station, Waterhouse Lane, Kingswood",http://www.reigate-banstead.gov.uk/downloads/file/3829/rbbcblr005,yes,not owned by a public authority,permissioned,full planning permission,,51.294787,-0.211317,0.78,18,18,2017-12-31,,. Redevelopment of the site to provide 18 residential dwelling houses.,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR006,"Land south of Margery Lane (Kingswood Hall Estate), Lower Kingswood",http://www.reigate-banstead.gov.uk/downloads/file/3830/rbbcblr006,yes,not owned by a public authority,not permissioned,,,51.258316,-0.20743,0.36,7,7,2017-12-31,,,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR007,"Frith Park Mansion, Sturts Lane, Walton on the Hill",http://www.reigate-banstead.gov.uk/downloads/file/3823/rbbcblr007,yes,not owned by a public authority,permissioned,full planning permission,,51.270446,-0.258609,1.64,37,37,2017-12-31,,. Full planning permission and listed building consent is sought for a mixed-use redevelopment comprising 37 residential dwellings and employment uses.,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR008,"Hockley Business Centre, Hooley Lane, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3828/rbbcblr008,yes,not owned by a public authority,permissioned,full planning permission,,51.232365,-0.170394,0.52,50,50,2017-12-31,,". Partial demolition of existing buildings and erection of 4 apartment blocks containing 49 flats, retention of locally listed wall and conversion of existing building into 2 bed house.",debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR009,"Redhill Aerodrome, Kings Mill, Lane, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3824/rbbcblr009,,not owned by a public authority,not permissioned,,,51.216023,-0.138366,6.54,130,130,2017-12-31,,"The site has been identified, as part of a wider site, in the Regulation 19 Development Management Plan as a safeguarding site.",debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
2017-12-31,local-authority-eng:REI,RBBCBLR010,"Units 1 & 2 and Land R/O 8-13 Maple Works, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3826/rbbcblr010,yes,not owned by a public authority,permissioned,full planning permission,,51.217152,-0.172873,0.15,6,6,2017-12-31,,. Demolition of warehouses and erection of 6 four bedroom houses.,debc0d5bf94db70a816f0eaea1001e8bdc462db5ded561606e0ad606857e9a60
