entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-12-21,local-authority-eng:TEI,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",,yes,not owned by a public authority,permissioned,full planning permission,,52.448501,-6.81015,0.26,15,15,2017-11-01,,Part of this site was started in 2002,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",,yes,not owned by a public authority,permissioned,full planning permission,,52.36297,-6.82344,0.12,6,6,2017-11-01,,Groundworks commenced keeping this live,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",,yes,not owned by a public authority,permissioned,full planning permission,,52.435772,-6.825044,0.47,9,9,2017-11-01,,started,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",,yes,not owned by a public authority,permissioned,full planning permission,,52.468151,-6.760701,0.04,9,9,2017-11-01,,completed,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",,yes,not owned by a public authority,permissioned,full planning permission,,52.365161,-6.845919,1.14,13,15,2017-11-01,,started,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish EX7 0JW",,yes,not owned by a public authority,permissioned,full planning permission,,52.461955,-6.789523,0.73,7,7,2017-11-01,,completed,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",,yes,not owned by a public authority,permissioned,full planning permission,,52.461809,-6.762446,0.04,5,5,2017-11-01,,started,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR008,"22-26 Wolborough Street, Newton Abbot TQ12 1JJ",,yes,not owned by a public authority,permissioned,full planning permission,,52.370763,-6.832215,0.18,38,38,2017-11-01,,started,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR009,"Clay Lane, Teignmouth TQ14 8FW",,yes,not owned by a public authority,permissioned,full planning permission,,52.443384,-6.813612,0.08,21,21,2017-11-01,,2 phase scheme part 1 completed in 2009 - this phase started,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
2018-12-21,local-authority-eng:TEI,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",,yes,not owned by a public authority,permissioned,full planning permission,,52.34597,-6.777522,26.45,23,23,2017-11-01,,,e21b0d16be74ebb9d581eeea422f5db66ee44767bff0037b8d10dd3fcc5fa452
