entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388622.99707948,360690.32725555,0.84,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387109.3903449,367051.35066974,0.1,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,386927.52240405,362484.72463816,1.75,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387149.75878955,363148.68291851,2.54,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388089.00993171,361614.466684,0.57,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388317.01466603,362685.48363091,2.72,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387559.50150192,363588.95269119,13.9117,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,390959.51825725,360845.90331346,0.83,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387393.49901964,362194.07798929,0.16,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388589.61663453,360532.41784534,3.0,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388965.97890195,355293.34112048,5.78,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388592.74573883,360653.17501022,0.09,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388502.36161102,360495.70258825,0.01,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387615.95534218,357868.90032699,0.76,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,391796.2387485,368931.29880634,0.45,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,385893.14849051,360433.10608438,1.37,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,394859.87179266,364775.7632762,0.35,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387009.29899575,359810.59572618,19.57,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387591.2224219,360993.02818375,0.07,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388624.59662161,361885.6714788,0.17,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388212.27464755,362856.601629,0.15,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,392598.09921833,360550.30138287,0.82,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387029.75314081,364887.54981461,0.86,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387287.06948477,366126.93915427,0.9,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387252.69932313,359307.67997926,29.46,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,389503.02517406,362936.84256364,8.81,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388324.14262567,360706.23197841,0.08,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388619.47808678,361263.52390329,1.45,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,386784.65329991,360156.59147023,16.65,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387570.74828256,361522.82282986,0.25,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,386903.24935214,361171.03080786,0.31,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387468.59752291,367208.47679914,0.37,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388499.79234647,360516.44716199,0.1,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388641.41180832,361179.3748097,0.46,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387961.94630329,360227.30111423,0.05,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,389281.62854818,359912.92517951,0.85,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387058.04504234,361021.17682235,0.15,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,395133.4234893,365715.86514295,0.25,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388210.39518554,360866.47474091,0.39,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387446.88373842,361010.44999786,1.9,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387532.8791225,360942.95592768,0.85,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388216.74336839,360325.54926231,0.56,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387769.77131281,363416.59793393,3.45,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,387853.55732931,360223.1950738,0.16,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,391794.54923212,364995.70028107,0.35,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,389110.34757685,363484.60319789,0.57,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,385777.22167421,361522.83107492,0.04,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
,http://opendatacommunities.org/doc/geography/administration/ua/E06000007,,388304.74817728,361189.75534162,0.09,2017-01-01,,e626e52de15e9af1e4518031bf1bc0157c9aaf661312b2da6e121488717e5673
