entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:TAU,06/08/0010,https://www.tauntondeane.gov.uk/media/2057/sandhill-park-mansion-sandhill-park-bishops-lydeard-06080010.pdf,51.062229,-3.205686,57.24,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,06/15/0019,https://www.tauntondeane.gov.uk/media/2056/sandhill-park-mansion-sandhill-park-06150019.pdf,51.064456,-3.001253,13.29,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,25/12/0032oa,https://www.tauntondeane.gov.uk/media/2047/langford-mead-norton-fitzwarren-25120032.pdf,51.027494,-3.138134,6.77,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,25/13/0014,https://www.tauntondeane.gov.uk/media/2046/langford-mead-norton-fitzwarren-23130014.pdf,51.028645,-3.139018,1.93,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,25/12/0017oa,https://www.tauntondeane.gov.uk/media/2048/little-acre-station-road-norton-fitzwarren.pdf,51.023592,-3.149987,0.14,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/05/0430,https://www.tauntondeane.gov.uk/media/2176/57-59-staplegrove-road-taunton.pdf,51.019507,-3.109253,0.16,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/12/0164,https://www.tauntondeane.gov.uk/media/2118/rear-12-13-east-reach-taunton.pdf,51.015419,-3.095512,0.05,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/11/0596,https://www.tauntondeane.gov.uk/media/2119/areas-a-b-c-and-d-firepool-lock-taunton.pdf,51.022345,-3.099226,2.4,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/13/0477oa,https://www.tauntondeane.gov.uk/media/2120/area-i-firepool-lock-taunton.pdf,51.022457,-3.098772,0.24,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/15/0506,https://www.tauntondeane.gov.uk/media/2121/area-h-firepool-lock-taunton.pdf,51.022501,-3.098887,0.63,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/14/0076,https://www.tauntondeane.gov.uk/media/2122/area-f-firepool-lock-taunton.pdf,51.022873,-3.092779,0.3,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/12/0234,https://www.tauntondeane.gov.uk/media/2177/kings-college-south-road.pdf,51.010647,-3.095271,1.39,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/12/0429,https://www.tauntondeane.gov.uk/media/2123/freemantle-house-priory-avenue-taunton.pdf,51.018606,-3.097997,0.01,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/13/0420,https://www.tauntondeane.gov.uk/media/2126/1-kingston-road-taunton.pdf,51.023835,-3.104237,0.05,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
,local-authority-eng:TAU,38/14/0355,https://www.tauntondeane.gov.uk/media/2130/parmin-close-taunton.pdf,51.01384,-3.084527,0.95,,,2017-12-31,,e6d4fd6d012b235e8b36a9611d58ad623a5b51ab0898913489061285defe699b
