entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-01,local-authority-eng:SLG,br15,"132-134, High Street, Slough, SL1 1HP",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br15.pdf,,,not permissioned,,,51.50858,-0.593774,0.51,,,2017-12-01,,"PreApp/00712
Mixed use development of C3 residential up to 300 units and A1/A3 (500sqm) and b
http://webarchive.nationalarchives.gov.uk/20140328084622/http:/publications.environment-agency.gov.uk/pdf/SCHO0195BJKX-e-e.pdf",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br16,"Aspire 2 Site, Corner of Church Street and Herschel Street, Slough, SL1 1PG",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br16.pdf,,,pending decision,,,51.507572,-0.594317,0.49,,,2017-12-01,,"P/01508/042
Construction of a mixed use and 200 residential units development.
http://webarchive.nationalarchives.gov.uk/20140328084622/http:/publications.environment-agency.gov.uk/pdf/SCHO0195BJKX-e-e.pdf",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br2,"Gibtel Transport CafĂ©, Colnbrook, SL3 8QG",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br2.pdf,,,not permissioned,,,51.488091,-0.532473,0.28,,,2017-12-01,,"cfs99
residential
http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKO-e-e.pdf",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br11,"Stoke Road Bus Depot, Stanley Cottages, SL2 5AQ",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br11.pdf,,mixed ownership,not permissioned,,,51.512908,-0.592687,0.54,,,2017-12-01,,"cfs69
Circa 150 residential units in undercroft parked blocks between 2 to 12 storeys.
http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKQ-e-e.pdf",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br9,"Former School Grounds, Belfast Avenue, Slough, SL1 3HH",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br9.pdf,,owned by a public authority,permissioned,full planning permission,,51.521199,-0.611562,0.32,,,2017-12-01,,"P/17086/000
Construction of 13 new dwellings comprising 5 x 2 beds, 8 x 3 beds with associated car parking and landscaping.",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2018-12-13,local-authority-eng:SLG,br51,"Slough Family Centre, Chalvey Park, Slough, SL1 2HX",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br51.pdf,,,pending decision,,,51.507745,-0.599408,0.2,,,2018-12-13,,"P/16841/000
Construction of 4no. four bedroom houses and 6no.three bedroom houses.",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br5,"Queensmere and Observatory Shopping Centres, Wellington Street, Slough, Berkshire, SL1 1LN",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br5.pdf,,,pending decision,,,51.509068,-0.590439,5.25,,,2017-12-01,,"P/06684/015; Planning application agreed; Section 106 agreement signed
Comprehensive redevelopment for retail, leisure, residential.
http://webarchive.nationalarchives.gov.uk/20140328084622/http:/publications.environment-agency.gov.uk/pdf/SCHO0195BJKX-e-e.pdf|http://webarchive.nationalarchives.gov.uk/20140328084622/http://publications.environment-agency.gov.uk/pdf/SCHO0195BJKP-e-e.pdf",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br35,"Hurricane Court, Parlaunt Road, Langley, Slough, Berkshire, SL3 8XP",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br35.pdf,,,permissioned,full planning permission,,51.499738,-0.533965,0.79,,,2017-12-01,,"F/10204/008, PreApp/00859
Prior approval notification for change of use from offices class B1(a) to 54 residential flats class C3 (24no. Studios; 16no. 1 Bed; 14no. 2 bed); Roof extension and 3 storey infill to create 30 self contained flats",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br24,"Compuware Ltd, 163, Bath Road, Slough, SL1 4AA",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br24.pdf,,,not permissioned,,,51.512646,-0.616346,0.44,,,2017-12-01,,"PreApp/00892
Change of use from C1 to C3",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
2017-12-01,local-authority-eng:SLG,br19,"Former Thames Valley University and car park, Wellington Street with William Street, Slough (NW quadrant of Heart of Slough Site)",http://www.slough.gov.uk/downloads/slough_brownfield_land_register_site_br19.pdf,,owned by a public authority,not permissioned,outline planning permission,,51.511406,-0.596602,3.47,,,2017-12-01,,"P/14405/000, SSA13
Comprehensive redevelopment for residences, offices, neighbourhood retail, restaurant, cafe, bar and public realm enhancement.",ea0c72de28fa2181f7a4bb172b542a89631bd6aa439f40c1a699d2a71dc659d6
