entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:CHW,BLA/0039(a),"Land to rear of 21-33 Western Avenue, Blacon",http://consult.cheshirewestandchester.gov.uk/file/4828177,,not owned by a public authority,not permissioned,,,53.203847,-2.9272,0.29,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BLA/0041,"Former Highfield Hotel, 99 Saughall Road, Blacon",http://consult.cheshirewestandchester.gov.uk/file/4828178,yes,not owned by a public authority,permissioned,outline planning permission,,53.205302,-2.926228,0.4,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BLA/0070,"27 Blacon Point Road, Blacon, Chester. CH1 5LD",http://consult.cheshirewestandchester.gov.uk/file/4828179,yes,not owned by a public authority,permissioned,full planning permission,,53.20191,-2.920795,0.17,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0010,"King Edward Buildings/ Bensons site and surrounding land, Christleton",http://consult.cheshirewestandchester.gov.uk/file/4828180,,mixed ownership,not permissioned,,,53.189457,-2.864868,0.34,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0011,"Former Deva Service Station, Whitchurch Road, Boughton, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828181,yes,not owned by a public authority,permissioned,full planning permission,,53.189222,-2.860104,0.16,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0017,"Site of former Boughton St Pauls Infant School, adjacent to superstore, Boughton, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828182,,not owned by a public authority,not permissioned,,,53.193179,-2.878384,0.58,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0020,"City House, 36 City Road, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828183,yes,not owned by a public authority,pending decision,full planning permission,,53.19413,-2.880963,0.32,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0021,"Lead Shot Tower, former Calder Indutsrial Estates, Leadworks Lane, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828184,yes,not owned by a public authority,permissioned,full planning permission,,53.194035,-2.878057,0.38,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0045,"Land at Premier House, Chaterhall Drive, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828185,,not owned by a public authority,permissioned,reserved matters approval,,53.194638,-2.876752,2.48,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,BOU/0074,125-127 Boughton Chester Cheshire CH3 5BH ,http://consult.cheshirewestandchester.gov.uk/file/4828186,yes,not owned by a public authority,permissioned,full planning permission,,53.192713,-2.8733,0.22,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
