entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR1,347014.43,452071.21,31.09,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR2,348925.37,453508.75,0.25,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR3,349102.87,453843.99,0.22,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR4,347844.83,452512.33,1.1,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR5,349465.93,453334.08,0.03,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR6,349308.73,453564.89,0.05,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR7,349486.76,453365.21,0.03,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR8,359433.19,449569.09,0.53,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR9,359614.11,449255.38,0.6,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR10,359758.22,449544.55,0.35,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR11,356288.56,451531.05,0.83,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR12,356768.89,450350.97,1.45,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR13,356951.36,451040.92,3.45,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR14,359421.03,447394.19,2.2,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR15,359072.08,449743.09,0.15,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR16,359059.68,449245.65,0.17,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR17,359345.05,449809.91,0.11,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR18,360396.18,450485.84,0.1,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR19,358605.59,448558.17,0.21,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
2017-07-28,http://opendatacommunities.org/id/district-council/ashfield,BFR20,358312.9,449442.97,0.26,2017-07-28,,ec9e9d8faf0725cdbf43837ba1b535402c1c75b1097afd18e4ecb1b614c02226
