entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2016-06-20,local-authority-eng:DOV,BR61-16,"Coombe Valley Road, Dover, Former Barwick Site",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.132883,1.294884,0.74,24,24,2016-06-20,,Under Construction - forms part of a wider allocated site (LA8 - land in Coombe Valley),edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR68-16,"Land north of River Stour & including part of Sandwich Industrial Estate, Land north of River Stour and including part of Sandwich Industrial Estate",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,yes,not owned by a public authority,permissioned,full planning permission,,51.276269,1.347032,12.2,303,303,2016-06-20,,Under Construction,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR71-16,"Old Folkestone Road, Aycliffe, Site of King Lear PH, Aycliffe",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,yes,not owned by a public authority,permissioned,,,51.113292,1.293275,0.15,18,18,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR87-16,"Discovery Park, Ramsgate Road, Sandwich, Discovery Park",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,51.287413,1.34516,72.3,500,500,2016-06-20,,Not Started - the housing on this site forms part of a wider mixed use application on a predominantly brownfield site. Expiry date extended from 3 years for approval of reserved matters to 10 years from date of decision,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR89-16,"Former council yard, Molland Lea, Ash, Former council yard, Molland Lea",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,yes,owned by a public authority,not permissioned,,,51.282659,1.277028,0.16,5,5,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR129-16,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP, Charlton Green Sorting Office",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,yes,not owned by a public authority,permissioned,outline planning permission,,51.13201,1.307303,0.69,65,65,2016-06-20,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR130-16,"Albany Place Car Park, Dover, Albany Place Car Park",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR130-16.pdf,yes,owned by a public authority,not permissioned,,,51.123533,1.311557,0.4,15,15,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR133-16,"Coombe Valley, Dover, Land in Coombe Valley",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR133-16.pdf,yes,not owned by a public authority,not permissioned,,,51.1315,1.282334,6.78,189,189,2016-06-20,,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this.,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR135-16,"Land off Dunedin Drive, Dover, Land off Dunedin Drive",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR135-16.pdf,yes,owned by a public authority,not permissioned,,,51.140772,1.302196,0.26,8,8,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR171-16,"East Studdal Nursery, Downs Road, East Studdal, East Studdal Nursery",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR171-16.pdf,yes,not owned by a public authority,not permissioned,,,51.19978,1.327922,1,30,30,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR173-16,"Eastry Hospital, Mill Lane, Eastry, Eastry Hospital",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR173-16.pdf,yes,not owned by a public authority,pending decision,,,51.243496,1.305426,3.29,80,80,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,BR174-16,"The Old Chalk Pit, Heronden Road, Eastry, The Old Chalk Pit, Heronden Road, Eastry",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR174-16.pdf,yes,not owned by a public authority,not permissioned,,,51.242483,1.295737,0.68,20,20,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
