entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0001,171958.8214,340307.3356,0.38,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0002,170829.8604,347669.0802,0.25,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0003,170568.1339,347338.009,0.56,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0005,176630.8543,347221.1911,0.97,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0006,176680.3377,347482.3781,1.62,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0007,162065.7867,331352.4562,0.15,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0009,161672.6304,332355.7276,0.1,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0010,166386.7364,342365.7439,1.41,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0012,165043.7076,353992.3227,0.24,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0013,168775.2039,354042.2905,4.49,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0014,159259.4217,338462.8746,0.37,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0015,171783.151,346056.6092,1.94,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0016,156656.0407,334120.1007,3.42,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
2018-12-31,http://opendatacommunities.org/id/unitary-authority/north-somerset,NSBR0017,162236.428,330861.26,0.17,,,2017-12-31,,f08c464d27eac845c0eb5a3e62f28443c0292a2949223bb498dde310dd4ba0fe
