entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-22,local-authority-eng:HAT,15/00275/FUL,"18 Church Road, Fleet, Hampshire, GU51 3RH",https://publicaccess.hart.gov.uk/online-applications/,,,51.282478,-0.840016,0.08,10,10,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,16/00796/PRIOR,"Consort House, 46-48 Albert Street, Fleet, Hampshire, GU51 3RL",https://publicaccess.hart.gov.uk/online-applications/,,,51.282567,-0.839038,0.04,6,7,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,17/00828/PRIOR,"115-123 Fleet Road, Fleet, Hampshire, GU51 3PD",https://publicaccess.hart.gov.uk/online-applications/,,,51.283972,-0.8383,0.14,6,6,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,16/03411/PRIOR,"111-113 Fleet Road, Fleet, Hampshire, GU51 3PD",https://publicaccess.hart.gov.uk/online-applications/,,,51.284112,-0.837967,0.1,12,12,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/00828/FUL,"Former Auxiliary Stores Unit, Former Queen Elizabeth Barracks, Naishes Lane, Church Crookham, Hampshire, GU52 8DB",https://publicaccess.hart.gov.uk/online-applications/,,,51.256308,-0.829882,0.75,16,16,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,14/01093/OUT,"Winkworth Business Park, London Road, Hartley Wintney, Hook, Hampshire, RG27 8HY",https://publicaccess.hart.gov.uk/online-applications/,,,51.292094,-0.92314,0.5,5,5,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/02225/FUL,"32 Reading Road South, Fleet, Hampshire, GU52 7QL",https://publicaccess.hart.gov.uk/online-applications/,,,51.277538,-0.844255,0.03,6,6,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,14/02942/FUL,"Land To Rear Of, Chantryland, New Road, Eversley, Hook, Hampshire, RG27 0NX",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.344999,-0.859831,0.36,6,6,2017-12-22,2018-12-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/01603/FUL,"Landata House, Station Road, Hook, Hampshire, RG27 9PE",https://publicaccess.hart.gov.uk/online-applications/,,,51.278094,-0.961103,0.55,78,78,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-20,local-authority-eng:HAT,16/03378/FUL,"Bartley House, Station Road, Hook, Hampshire, RG27 9JF",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.277317,-0.96069,0.6,102,102,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/02465/FUL,"Providence House, 2 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.28749,-0.917354,1.69,107,109,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,13/00720/MAJOR,"Winchfield Lodge, Old Potbridge Road, Winchfield, Hook, Hampshire, RG27 8BT",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.28749,-0.917354,0.98,16,16,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,13/01215/MAJOR,"Lamb Hotel, High Street, Hartley Wintney, Hook, Hampshire, RG27 8NW",https://publicaccess.hart.gov.uk/online-applications/,,,51.307383,-0.899212,0.25,11,11,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/01083/FUL,"Rose Court, Rye Common Lane, Crondall, Farnham, GU10 5DD",https://publicaccess.hart.gov.uk/online-applications/,,,51.246721,-0.878382,0.3,14,14,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,14/00106/MAJOR,"Land Rear Of, 102-108 Fleet Road, Fleet, Hampshire, GU51 4PA",https://publicaccess.hart.gov.uk/online-applications/,,,51.2828,-0.840724,0.09,12,12,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/01540/FUL,"Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.298456,-0.831667,0.48,33,33,2017-12-22,2019-11-20,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,16/01441/FUL,"Oak House, Harvest Crescent, Fleet, Hampshire, GU51 2QW",https://publicaccess.hart.gov.uk/online-applications/,,,51.298164,-0.82585,0.61,14,31,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,17/00530/FUL,"White Hart House, London Road, Blackwater, Camberley, Surrey, GU17 9AD",https://publicaccess.hart.gov.uk/online-applications/,,,51.331569,-0.777384,0.16,5,23,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,17/01111/FUL,"Land To The Rear Of, Acorn House, Elms Road, Hook, Hampshire, RG27 9DU",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.283276,-0.962391,0.18,5,5,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/00230/FUL,"Fleet Autos, St James Road, Fleet, Hampshire, GU51 3YX",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.277732,-0.845712,0.05,5,5,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
