entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-31,local-authority-eng:SNO,S/ASL/001,52.474473,1.179366,0.82,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/CAR/001,52.480431,1.118755,0.23,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/COS/001,52.664083,1.178640,?????,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/CRI/001,52.604897,1.245270,0.65,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/DIS/001,52.367835,1.128870,0.84,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/DIS/002,52.373262,1.105904,1.51,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/DIS/003,52.373053,1.103950,2.13,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/DIS/004,52.374134,1.097707,0.16,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/FOR/001,52.495640,1.201155,1.77,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/FRA/001,52.575790,1.347076,1.23,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/HAL/001,52.522446,1.505124,0.36,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/HAR/001,52.398478,1.305767,0.95,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/HAR/002,52.404222,1.300109,0.13,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/LON/001,52.491269,1.232235,2.39,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/LON/002,52.491009,1.229888,0.07,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/TRO/001,52.615791,1.316617,2.78,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/WIC/001,52.567802,1.054613,1.59,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/WYM/001,52.566284,1.117320,1.88,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
2017-12-31,local-authority-eng:SNO,S/WYM/002,52.563083,1.125475,0.82,,,2017-12-31,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
,local-authority-eng:SNO,S/DIC/001,52.395168,1.183348,0.5604926738,,,,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
,local-authority-eng:SNO,S/HAR/,,,,,,,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
,local-authority-eng:SNO,S/COS/,,,,,,,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
,local-authority-eng:SNO,S/HAR/003,52.398873,1.301655,0.47786715969999993,,,,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
,local-authority-eng:SNO,S/COS/002,52.645770,1.205045,1.2777996085999999,,,,,f22c5f392d9544435b448bfb5cb909d9a7cc6ecb19a6b5e00c4ebf544e71d01b
