entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,2031,-2.7848,53.7145,4.64,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,MF02b,-2.6984,53.7392,9.45,2016-06-03,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,MF02c,-2.6987,53.7405,1.17,2016-06-03,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,TG08,-2.6888,53.7337,1.9,2017-09-20,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,2013,-2.8148,53.6951,0.63,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,2016,-2.8005,53.7079,0.26,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,1987,-2.7921,53.7254,0.26,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,1395,-2.7762,53.7122,0.41,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,2017,-2.7238,53.7042,0.28,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,NLH08b (NE part),-2.7405,53.7218,0.26,2019-07-04,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,MS02,-2.7276,53.7006,40.6,2017-09-20,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,BBW02,-2.6695,53.7279,2.7,2017-09-20,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,TG05,-2.688,53.7255,1.5,2017-09-20,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,SW13,-2.6454,53.742,2.3,2017-09-20,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
2019-07-04,http://opendatacommunities.org/id/district-council/south-ribble,HP01,-2.7615,53.7466,2.4,2017-09-20,,f5674dc4ad613c5c8c20aa46c6bda8505968fe65f6598a227cc4f2511972a8ba
