entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-11-23,local-authority-eng:TUN,BFR_0001,The Hop Pocket 59 Maidstone Road Paddock Wood Tonbridge Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.18408,0.388355,0.2,10,10,2017-11-23,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-23,local-authority-eng:TUN,BFR_0002,Bradleys (Speldhurst) Ltd Speldhurst Hill Speldhurst Royal Tunbridge Wells Kent TN3 0NG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.153166,0.226237,2,5,5,2017-11-23,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-23,local-authority-eng:TUN,BFR_0003,Bassetts FarmGoudhurst RoadHorsmondenTonbridgeKentTN12 8AS,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.137359,0.437536,0.97,30,30,2017-11-23,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-23,local-authority-eng:TUN,BFR_0008,Garlinge Lodge6 Garlinge RoadSouthboroughRoyal Tunbridge WellsKentTN4 0NR,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.159393,0.259803,0.062,6,6,2017-11-23,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-23,local-authority-eng:TUN,BFR_0010,Calverley House55 Calverley RoadRoyal Tunbridge WellsKentTN1 2TU,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.133825,0.266788,0.22,77,112,2017-11-23,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-27,local-authority-eng:TUN,BFR_0011,13-15 Commercial RoadPaddock WoodTonbridgeKentTN12 6EN,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.181052,0.389115,0.07,5,5,2017-11-27,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-27,local-authority-eng:TUN,BFR_0012,69-71 Culverden DownRoyal Tunbridge WellsTN4 9SL,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.141257,0.252613,0.17,8,8,2017-11-27,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-27,local-authority-eng:TUN,BFR_0013,Westcombe House2-4 Mount EphraimRoyal Tunbridge WellsKent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.137394,0.261245,0.06,9,24,2017-11-27,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-27,local-authority-eng:TUN,BFR_0016,Reliance Recovery13A Benhall Mill RoadRoyal Tunbridge WellsKentTN2 5JH,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.117994,0.273815,0.19,6,6,2017-11-27,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-27,local-authority-eng:TUN,BFR_0024,Unit 1The Southborough Centre1 Draper StreetSouthboroughRoyal Tunbridge WellsKentTN4 0PG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.160954,0.257677,0.03,12,12,2017-11-27,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
2017-11-27,local-authority-eng:TUN,BFR_0026,MabledonLondon RoadSouthboroughRoyal Tunbridge WellsKentTN4 0UH,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,51.179515,0.259628,0.6,9,9,2017-11-27,,faaae98e97284002454767f26a5eb0ec6fc3bb9ab3d41d48f1c19652a099000f
