entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-17,local-authority-eng:GRE,RBG-01,,,1.82,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-02,51.488379,0.088441,0.09,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-03,51.485358,0.009127,2.20,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2017-12-22,local-authority-eng:GRE,RBG-05,51.460441,0.023680,5.04,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-06,51.474685,0.025765,0.07,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-07,51.476379,-0.018096,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-08,51.490178,0.006515,3.60,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-09,51.479727,-0.017159,0.13,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-10,51.494012,0.059252,0.76,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-11,51.492365,0.016378,8.01,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-12,51.494015,0.056040,0.13,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-13,51.485704,0.017813,0.10,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-14,51.492878,0.069501,14.98,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-15,51.487243,0.113179,0.11,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-16,51.477088,-0.016381,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-19,51.450560,0.050978,0.43,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-20,51.489555,0.060088,0.09,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-21,51.493323,0.064695,0.43,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-22,51.454394,0.019224,0.07,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-23,51.450410,0.055418,0.07,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-24,51.488122,0.018409,0.08,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-26,51.460933,0.027978,4.73,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-27,51.458471,0.029452,4.78,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-28,51.462990,0.022901,4.09,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-29,51.491396,0.073986,0.84,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-30,51.487825,0.059233,0.25,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-31,51.486115,0.065997,3.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-32,51.487431,0.056104,0.05,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-33,51.439763,0.050782,0.05,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-34,51.475056,0.046374,0.10,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-35,51.484842,0.018754,0.09,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-37,51.490779,0.051817,0.06,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-38,51.482439,0.066897,0.15,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-39,51.474880,0.058462,0.04,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-42,51.487632,0.056401,0.02,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-43,51.490386,0.068539,0.14,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-44,51.498259,0.005156,46.11,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-45,51.482708,-0.013155,0.04,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-47,51.480932,-0.017164,0.47,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-48,51.490361,0.003743,3.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-49,51.488654,0.068359,0.01,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-50,51.491783,0.064799,0.04,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-51,51.492366,0.058227,0.26,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-52,51.486356,0.007586,0.06,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-54,51.490224,0.063489,0.10,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-55,51.501155,0.008294,1.63,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-56,51.482472,-0.013051,0.02,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-57,51.482137,0.037373,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-58,51.491428,0.042958,0.06,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-59,51.487743,0.028893,0.04,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-60,51.498456,0.010999,3.53,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-61,51.461577,0.039624,0.47,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-62,51.491241,0.067526,0.02,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-63,51.492187,0.048438,0.01,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-64,51.484257,0.109700,0.22,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-65,51.488539,0.037946,0.34,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-66,51.489841,0.073455,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-67,51.479278,0.068684,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-70,51.434341,0.063042,0.07,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-71,51.475497,-0.020179,0.38,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-72,51.447752,0.062365,0.09,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-73,51.481301,-0.013461,0.02,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-75,51.492288,0.071895,1.00,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-76,51.490730,0.046889,4.30,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-77,51.488471,0.002724,2.84,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-78,51.488894,0.064438,0.21,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-79,51.498396,0.090499,0.39,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-80,51.482887,0.005374,0.06,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-81,51.435753,0.068141,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-82,51.480185,0.069762,0.01,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-83,51.481638,0.022559,0.03,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-84,51.492877,0.066505,0.02,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-85,51.473364,0.095819,0.05,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-86,51.487723,0.031586,0.02,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-87,51.479074,0.087800,0.05,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-88,51.486836,0.015774,0.11,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-89,51.490385,0.065585,0.68,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-90,51.490641,0.070956,1.86,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-91,51.493664,0.120161,2.15,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
2018-12-17,local-authority-eng:GRE,RBG-92,51.477135,-0.017574,0.16,,,2017-12-22,,fae859c1bd1d64c533cc5b024ac6ed541370f89cb52d84e97c7ac6523039c3a2
