entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-10-26,local-authority-eng:WLA,WL002,,53.544701,-2.751925,1.8,,,2016-08-03,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-12-11,local-authority-eng:WLA,WL004,,53.553449,-2.771123,3.34,,,2016-08-03,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-12-11,local-authority-eng:WLA,WL005,,53.541465,-2.768379,2.56,,,2016-08-03,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL006,,53.676507,-2.91439,10.26,,,2016-08-04,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL007,,53.607522,-2.836296,0.51,,,2016-08-04,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2017-10-26,local-authority-eng:WLA,WL008,,53.564807,-2.889392,0.26,,,2016-08-04,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL010,,53.588021,-2.862039,0.27,,,2016-08-04,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL012,,53.553569,-2.958746,0.26,,,2016-08-05,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL013,,53.679616,-2.829326,0.76,,,2016-08-05,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL014,,53.542832,-2.905238,0.23,,,2016-08-05,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL015,,53.540033,-2.770818,0.17,,,2016-08-05,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL028,,53.550898,-2.805693,0.1,,,2017-06-13,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL029,,53.568479,-2.88653,0.12,,,2017-06-13,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL038,,53.553586,-2.762776,0.22,,,2017-06-13,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-11-08,local-authority-eng:WLA,WL040,,53.542849,-2.903018,0.15,,,2017-06-13,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
2018-12-07,local-authority-eng:WLA,WL064,,53.669536,-2.943646,0.9,,,2018-12-06,,fea579a9805f6b23a047035ac8bfa7857f3d30a98fff45205e49bfb2bea1877f
