entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,15,371056,436373,0.92,1,6,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,16,372649,436639,0.72,1,20,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,17,371120,437410,0.25,1,12,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,18,375438,441645,0.69,1,20,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,23,370834,436384,0.2,1,10,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,32,375861,445310,0.41,1,14,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,49,373348,439149,1.6,45,45,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,64,370594,437038,5.71,1,135,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,68,371965,438720,19.22,1550,1550,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,91,371780,436388,0.68,1,20,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,93,371436,438014,1.11,34,34,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,108,371432,437502,0.62,1,25,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,111,374330,440847,0.97,37,37,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,125,371971,440772,0.87,27,27,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,126,372862,442200,0.53,1,16,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,128,371380,437984,0.65,1,29,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,144,372862,436791,1.96,55,55,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,145,374219,440948,0.71,1,23,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,150,373029,436807,0.57,1,17,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,151,372363,438477,0.91,1,25,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,154,375927,437586,1.12,1,30,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,155,375805,437552,1.4,1,38,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,156,376061,437590,1.3,48,48,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,192,369505,437238,3.09,90,90,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,193,369385,437528,1.5,60,60,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,244,372069,444305,1.35,3,3,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,276,372196,438460,0.2,9,9,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,315,374248,441688,0.55,1,10,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,317,375492,445122,0.2,1,6,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,336,374708,436714,4.49,146,146,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,338,370983,436938,0.95,1,40,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,382,371462,438460,0.15,22,22,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,383,373542,438443,0.07,8,8,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
2017-12-19,http://opendatacommunities.org/id/district-council/chesterfield,385,371423,437754,0.08,10,10,2017-12-19,,ff0af68ac48269b2f073b4079ea2b59ea914f7f64adc954c84633b1382f1dd43
